0,1,2,3,4
Table 1.4. Fertility and pregnancy in Bangladesh during 2023 (SVRS 2023),,,,
"Crude birth rate (per 1,000 population)",,,"Total fertility rate (per woman aged 15-49
years)",
Total,19.4,,Total,2.17
Male,20.4,,Rural,2.31
Female,18.5,,Urban,1.78
Rural (total),20.2,,General fertility rate,
Urban (total),17.0,,Total,68
,,,Rural,72
,,,Urban,57
Gross reproduction rate,,,Net reproduction rate,
Total,1.07,,Total,1.06
Rural,1.14,,Rural,1.12
Urban,0.86,,Urban,0.86
,,,,
Type of delivery (%),,,Place of delivery (%),
Normal,,,Home,32.77
National,49.3,,"Public facili-
ties",26.43
Rural,51.6,,"Private facil-
ities",39.76
Urban,40.9,,NGO facilities,0.99
"Cesarean sec-
tion",,,"Others/Trans-
port",0.05
National,50.7,,Antenatal care service-seeking (National) (%),
Rural,48.4,,,
Urban,59.1,,"Not at all/
None",2.07
Birth registration of resident population (%),,,Once,6.44
Total,63.36,,Twice,23.54
Rural,63.88,,Thrice,28.88
Urban,61.68,,Four or more,39.08
