0,1,2,3,4
"Table 13.6. Comparison of indicators from vital statistics in the health sector in between 2006
and 2023",,,,
"Sl.
no.",Sector/Topic,"Benchmark
year 2006*","Assessed year
2023**",Remarks
Indicators from vital statistics,,,,
1,Population (million),140.6,171.0,122% 
2,Growth rate,1.41,0.69,49% 
3,Maternal mortality ratio,337,136,40% 
4,Neonatal mortality rate,31,20,65% 
5,Infant mortality rate,45,27,60% 
6,Under-5 mortality rate,62,33,53% 
7,Total fertility rate,2.41,2.17,90% 
8,Crude birth rate,20.6,19.6,95% 
9,Crude death rate,5.6,6.1,109% 
10,Life-expectancy at birth (years),66.5,72.3,109% 
