0,1,2,3,4,5,6,7,8,9,10
Table continued...,,,,,,,,,,
"Sl.
no.","Name of
medical
college
hospital",Outpatient visit,,Emergency visit,,Admission,,ALS,BOR,"Sanctioned
beds"
,,Male,Female,Male,Female,Male,Female,,,
4,"Cumilla
Medical
College
Hospital","212,184","219,195","50,316","51,778","49,727","515,26",4.0,212.9,500
5,"Dhaka
Medical
College
Hospital","507,960","584,525","250,982","236,346","97,278","89,139",8.2,139.9,"2,600"
6,"Khulna
Medical
College
Hospital","181,626","259,875","3,557","3,430","56,088","58,558",5.2,283.2,500
7,"M. Abdur
Rahim
Medical
College
Hospital","125,875","148,889","34,832","38,229","34,206","37,875",4.1,160.3,500
8,"Mugda
Medical
College
Hospital,
Dhaka","327,930","349,526","32,051","30,273","182,75","21,081",4.7,153.9,500
9,"Mymensingh
Medical
College
Hospital","595,259","557,335","35,407","34,183","150,026","163,555",3.9,326.5,100
10,"Rajshahi
Medical
College
Hospital","726,422","792,121","156,200","158,227","139,381","148,208",3.5,208.2,"1,200"
11,"Rangpur
Medical
College
Hospital","288,183","244,111","75,922","71,502","77,307","72,242",3.8,152.7,"1,000"
12,"Satkhira
Medical
College
Hospital","71,945","88,908","1,245",903,"15,548","14,029",4.5,124.1,500
13,"Shaheed
M. Monsur
Ali Medical
College
Hospital","85,088","111,296","10,057","9,753","10,334","10,411",5.0,54.3,500
Table 5.4 contd.,,,,,,,,,,
