0,1,2
,,
,INV,
"Indicator:
Antiretroviral therapy (ART) (2021)
",INV,
,,
,,
Estimated ART coverage,31%,
Estimated ART coverage (adults 15+),31%,
"Estimated ART coverage (children, 0-14)¹",48%,
Reported number of children receiving ART,179,
Reported number of people living with HIV receiving ART,4 565,
Reported number of people living with HIV receiving ART (adults 15+),4 386,
