0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Sl No.,,,Name of District,,,Total,,,Functioning,,,,Non-,,Repairable,,,,Non-,
,,,,,,,,,,,,,Functioning,,,,,,Repairable,
,1,,,2,,,3,,,4,,,5,,,6,,,7,
3,,,Meherpur,,,1,,,1,,,0,,,0,,,0,,
4,,,Jessore,,,8,,,5,,,3,,,3,,,0,,
5,,,Narail,,,2,,,0,,,2,,,2,,,0,,
6,,,Magura,,,4,,,3,,,1,,,0,,,1,,
7,,,Jhenaidah,,,5,,,5,,,0,,,0,,,0,,
8,,,Khulna,,,10,,,9,,,1,,,1,,,0,,
9,,,Bargerhat,,,12,,,6,,,6,,,6,,,0,,
10,,,Satkhira,,,8,,,5,,,3,,,2,,,1,,
,Total,,,,,,60,,,43,,,17,,,14,,,3,
Barisal Division,,,,,,,,,,,,,,,,,,,,
1,,,Patuakhali,,,7,,,4,,,3,,,3,,,0,,
2,,,Barguna,,,5,,,4,,,1,,,1,,,0,,
3,,,Barisal,,,12,,,5,,,7,,,7,,,0,,
4,,,Bhola,,,4,,,2,,,2,,,1,,,1,,
5,,,Jhalakathi,,,3,,,3,,,0,,,0,,,0,,
6,,,Perojpur,,,6,,,5,,,1,,,0,,,1,,
,Total,,,,,,37,,,23,,,14,,,12,,,2,
Rajshahi Division,,,,,,,,,,,,,,,,,,,,
1,,,Dinajpur,,,14,,,9,,,5,,,3,,,2,,
2,,,Panchagarh,,,4,,,2,,,2,,,1,,,1,,
3,,,Thakurgaon,,,6,,,4,,,2,,,2,,,0,,
4,,,Rangpur,,,9,,,5,,,4,,,4,,,0,,
5,,,Lalmonirhat,,,4,,,0,,,0,,,0,,,0,,
6,,,Gaibandha,,,6,,,0,,,0,,,0,,,0,,
7,,,Nilphamari,,,5,,,2,,,3,,,3,,,0,,
8,,,Kurigram,,,9,,,8,,,1,,,0,,,0,,
9,,,Bogra,,,14,,,9,,,6,,,5,,,1,,
10,,,Joypurhat,,,5,,,3,,,1,,,1,,,0,,
11,,,Rajshahi,,,12,,,8,,,3,,,2,,,1,,
12,,,Naogaon,,,10,,,7,,,3,,,2,,,1,,
13,,,Chai Nawabganj,,,5,,,5,,,0,,,0,,,0,,
14,,,Pabna,,,10,,,7,,,3,,,2,,,1,,
15,,,Serajgonj,,,9,,,7,,,2,,,1,,,1,,
16,,,Natore,,,6,,,4,,,2,,,2,,,0,,
,Total,,,,,,128,,,80,,,37,,,28,,,8,
,Grand Total,,,,,,486,,,329,,,141,,,113,,,27,
