0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
"Sl.
No.",,,"Name of Health Institution/ Health
Complex/ Hospital",,,"Number of
Ambulance (If
not available
mark as nil) To
be specified",,,"If under T&E or
not & T&E No.",,,"Functio
ning",,,"Non-
Functioni
ng",,,"If not functioning; from which
date & whether repairable or
not. If repairable, what
measures taken & if not
repairable whether condemn
declared or not",,Remarks,,
,1,,,2,,,3,,,4,,,5,,,6,,7,,,8,
1,,,"General Hospital, Jamalpur",,,4,,,-,,,3,,,1,,,"Non-functioning from 11/11/93.
Under process of repairing.",,,,
2,,,"General Hospital, Faridpur",,,2,,,-,,,2,,,,,,-,,,,
3,,,"Sadar Hospital, Gajipur",,,2,,,-,,,-,,,2,,,-,,,,
4,,,"50 Bedded Hospital, Tongi",,,1,,,-,,,1,,,,,,-,,,,
5,,,"Sadar Hospital, Madaripur",,,5,,,-,,,3,,,2,,,-,,,,
6,,,"General Hospital, Narayangonj",,,2,,,-,,,2,,,,,,-,,,,
7,,,"General Hospital, Manikgonj",,,2,,,-,,,1,,,1,,,-,,,,
8,,,"Sadar Hospital, Sherpur",,,2,,,Not under T&E,,,1,,,1,,,In Temo to repair,,,,
9,,,"Sadar Hospital, Shoriyotpur",,,1,,,-,,,1,,,-,,,-,,,,
10,,,"100 Bedded Specialized Hospital,
Narshingdi (New)",,,1,,,"""",,,1,,,,,,-,,,,
,,,"General Hospital, Narshingdi (Old)",,,1,,,-,,,1,,,,,,-,,,,
11,,,"Sadar Hospital, Kishoregonj",,,2,,,-,,,1,,,1,,,"Non-functioning from 10/11/03.
Under process of repairing.",,,,
12,,,"General Hospital, Tangail",,,2,,,-,,,1,,,1,,,-,,,,
13,,,"Sadar Hospital, Rajbari",,,1,,,Not under T&E,,,1,,,-,,,-,,,,
14,,,"Sadar Hospital, Munshigonj",,,2,,,-,,,,,,2,,,-,,,,
15,,,"Sadar Hospital, Netrokona",,,1,,,-,,,1,,,,,,-,,,,
16,,,"Sadar Hospital, Gopalgonj",,,2,,,-,,,2,,,,,,-,,"Information
not available",,
17,,,"General Hospital, Pabna",,,6,,,-,,,1,,,5,,,"1 functioning, 1 repairable & 4
non-serviceable",,,,
18,,,"Sadar Hospital, Thakurgaon",,,4,,,-,,,1,,,3,,,Under process,,,,
