0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
,raeY,,,noitartsigeR,,Status of new smear positive cases and their percentages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"etar
sseccuS",
,,,,,,,deruC,,,%,,,detelpmoC,,%,,deiD,,%,,deliaF,,,%,,,detluafeD,,,%,,,"tuo
derrefsnarT",,,%,,,"detaulave
toN",,,%,,,latoT,,,,
2001,,,40771,,,32294,,,79.2,,,1688,,,4.1 1,,760,4.3,,330,,,0.8,,,3088,,,7.6,,,1349,,,3.3,,,262,,,0.6,,,40771,,,83.3,,
2002,,,46811,,,37953,,,81.1,,,1335,,,2.9 2,,215,4.7,,325,,,0.7,,,3268,,,7.0,,,1633,,,3.5,,,82,,,0.2,,,46811,,,83.9,,
2003,,,53628,,,44581,,,83.1,,,1235,,,2.3 2,,574,4.8,,341,,,0.6,,,2840,,,5.3,,,1953,,,3.6,,,104,,,0.2,,,53628,,,85.4,,
2004,,,62669,,,55448,,,88.5,,,737,,,1.2 2,,399,3.8,,439,,,0.7,,,1744,,,2.8,,,1499,,,2.4,,,403,,,0.6,,,62669,,,89.7,,
2005,,,84805,,,76832,,,90.6,,,802,,,0.9 2,,985,3.5,,541,,,0.6,,,1745,,,2.1,,,1549,,,1.8,,,351,,,0.4,,,84805,,,91.5,,
