0,1,2,3,4,5,6,7,8,9,10,11
,,"Adjusted
Population",Total B/S,"ABER
%",Total,,,,,,
,Name of,,,,,,ASPR,Total,% of,Total,% of
Year,,,Examina-,,+ve,API,,,,,
,Division,,,,,,%,Pv,Pv.,Pf,Pf.
,,,tion,,Case,,,,,,
,,,,,,,,,,,
,Khulna,15801390,5210,0.03,26,0.00,0.50,23,88.46,3,11.54
,Rajshahi,32553726,17464,0.05,46,0.00,0.26,39,84.78,7,15.22
,Sylhet,8543650,32804,0.38,1723,0.20,5.25,542,31.46,1181,68.54
All Division,,133997484,350271,0.26,55909,0.42,15.96,14388,25.73,41521,74.27
2004,Barisal,8952932,3020,0.03,0,0.00,0.00,0,,0,
,Chittagong,26483045,237139,0.90,57939,2.19,24.43,12394,21.39,45545,78.61
,Dhaka,42807327,44152,0.10,271,0.01,0.61,271,100.00,0,0.00
,Khulna,16035973,4787,0.03,12,0.00,0.25,11,91.67,1,8.33
,Rajshahi,33037010,14242,0.04,85,0.00,0.60,25,29.41,60,70.59
,Sylhet,8670487,24321,0.28,1207,0.14,4.96,515,42.67,692,57.33
All Division,,135986774,327661,0.24,59514,0.44,18.16,13216,22.21,46298,77.79
2005,Barisal,9083901,4045,0.04,0,0.00,0.00,0,0.00,0,0.00
,Chittagong,26870453,228476,0.85,47096,1.75,20.61,10334,21.94,36762,78.06
,Dhaka,43433536,35748,0.08,370,0.01,1.04,105,28.38,265,71.62
,Khulna,16270556,4066,0.02,10,0.00,0.25,9,90.00,1,10.00
,Rajshahi,33520293,12096,0.04,8,0.00,0.07,7,87.50,1,12.50
,Sylhet,8797323,457207,5.20,612,0.07,0.13,192,31.37,420,68.63
All Division,,137976063,741638,0.54,48096,0.35,6.49,10647,22.14,37449,77.86
