0,1,2,3,4,5,6,7,8
Sl.,,,Year,,,,,
,Description of subject,,,,,,,
No,,,2002,2003,2004,2005,2006,Total
,,,,,,,,
1,Group discussion,,207231,1756,4102,5869,3380,222338
2,"Number of implemented activities of
BCC under school health education",,360720,252581,2379,2875,1490,620045
3,Discussion in religion institute,Mosque,60183,57123,873,1282,806,120267
,,Mondir,2120,1572,216,573,210,4691
,,Girja,582,680,18,27,10,1317
,,Pagoda,123,103,104,93,112,535
4,"Number of education/BCC related
session in hospital",Internal,102736,157225,8322,9714,7600,285597
,,External,201522,280560,5435,8635,6998,503150
5,"Number of field worker activities
supervised",,360000,250805,3571,4748,2638,621762
