0,1,2,3,4,5
Grade,,No. of,,No. of,
,Level,,Cadre Post(Regular),,Cadre Post(Temporary)
No.,,Posts,,Posts,
,,,,,
1,2,3,4,5,6
,Jr. Consultant,125,125,,
,Jr. Consultant,235,,,
,Deputy Civil Surgeon,26,26,,
,"Upazila Health & Family
Planning Officer",460,460,14,14 UHC newly created
,Associate Professor (IHT),8,8,,
,Assistant Professor (IHT),8,8,,
,RP/RS,62,62,23,
,"Sr. Cl. path., Radiology
(IDCH)",11,"11 (Sr. Cl. Path-9, Radiology-2)",,
,Resident Phychitrst,,,1,
,"Sr., S.O.",8,8,1,
,Asso. Phy/Surgeon,6,,,
,Applied Nutritionist,1,,,
,Jr. Lecturer,32,32,,
,RMO (District Hospital),62,62,14,
,R.M.O.,,,14,14 UHC newly created
,C.M.O.,,,1,NICH&R
,"Jr. Consultant (Sur.,Med. &
Gyn.)",1191,1191,42,14 UHC newly created
,Jr. Consultant (Anaes),,,14,14 UHC newly created
,Curator,16,16,1,
,Sr. M.O.,,,1,NIKDU
,Asst. Chief (Medical),,,1,MIS
,SDPP(NIO),,,1,
,OSD/Leave Reserve,89,,,
Total,,2687,,470,
7,Jr. Consultant (Upazila),0,0,95,
,Jr. Con. Anaes.,460,460 Upazila Health Complex,2,
,Sp (Sur. Med. Gyn),,,12,
,Curator,,,10,5MC-10
,Chief M.O.,,,1,
,OSD/Leave Reserve,19,,,
Total,,479,,120,
9,MO,3831,,1031,
,Lecturer,,,157,"5 MC-155, NIKDU- 2"
,Assistant Surgeon,1000,MO,208,"SZMCH- 120, NIKDU- 27,
NIMH&R- 26, NICH&R- 20,
5MC-15"
,Assistant Surgeon,3176,For union level,42,14 UHC newly created
,Dental Surgeon,503,,,
,Dental Surgeon,,,17,"14 UHC newly created,
SZMCH- 3"
,OSD/Leave Reserve,643,,,
Total,,9153,,1455,
,Newly Created (CT):,4732,,663,
,Grand Total (Cadre):,8616,Including 536 Dental Surgeon,1969,
Cadre (Per + Tem):,,13348,,2632,
Total Revenue (including cadre),,,,15980,
