0,1,2,3,4,5
Designation,Sanctioned,Existing,,,Vacant
,Post,Male,Female,Total,
Dialysis Technician,4,4,0,4,0
Draftsman,7,3,1,4,3
Driver,426,365,1,366,60
Electrician,4,4,0,4,0
ENTO Technician,77,33,2,35,42
EPI Tecnician,467,446,4,450,17
Heart & Lunch Technician,2,1,0,1,1
Home Visitor,70,0,34,34,36
Jr. Mechanic,1,1,0,1,0
Lab. Asstt.,72,17,13,30,42
Mechanic,3,3,0,3,0
Nursing Attendent,13,3,1,4,9
Sr. Mechanic,1,1,0,1,0
Sterilizer,1,1,0,1,0
Sterilizer Mechanic,21,17,0,17,4
Steward,5,5,0,5,0
Technical Asstt.,2,0,0,0,2
Technician,9,9,0,9,0
Vertical Transport Attendent,1,0,0,0,1
Sub-Total :,"6,747","5,166",281,"5,447","1,300"
Scale : 16 (3000-150*7-4050-170*11-5920),,,,,
Account,3,2,1,3,0
Account Asstt.,13,13,0,13,0
Accounts Asstt. Cum Typist,5,4,0,4,1
Accounts Clerk,6,6,0,6,0
Animal Care Taker,8,8,0,8,0
Artist,33,24,0,24,9
Asstt. Carpenter,2,1,0,1,1
Asstt. Librarian,6,3,0,3,3
Asstt. Psych. Instructor,1,1,0,1,0
Asstt. Steward,2,1,0,1,1
Audio Visual Operator,6,6,0,6,0
Auto Clave Operator,4,3,0,3,1
Auto clave Sterilizer Operator,7,7,0,7,0
Boiler Mechanic,1,1,0,1,0
Care Taker,2,2,0,2,0
Carpenter,2,2,0,2,0
Cashier,49,42,2,44,5
Catalog Asstt.,2,1,0,1,1
Cataloger,5,1,3,4,1
Clerk Cum Typist,4,3,0,3,1
Compounder,66,16,2,18,48
Computer Operator,1,0,1,1,0
Dark Room Asstt.,12,11,0,11,1
Dark Room Attendent,2,1,1,2,0
Dark Room Technician,1,1,0,1,0
