0,1,2,3,4,5
Designation,Sanctioned,Existing,,,Vacant
,Post,Male,Female,Total,
Pharmachist Graduate,10,1,0,1,9
Pharmacologist,1,0,1,1,0
Pharmasist(Graduate),2,1,0,1,1
Physiotherapist,1,0,0,0,1
Principal,1,0,1,1,0
Production Manager,2,0,1,1,1
Programmer,1,0,0,0,1
Project Supervisor,3,2,0,2,1
Psych. Social Worker,5,4,0,4,1
Public Analyst,1,1,0,1,0
Radiologist,79,56,10,66,13
Radiotheraphist,12,8,1,9,3
Registrar,161,128,19,147,14
Research Associate,1,1,0,1,0
Research Asstt.,9,7,2,9,0
Research Officer,2,2,0,2,0
RMO,420,287,2,289,131
Scientific Officer,3,0,2,2,1
Sister Tutor,2,0,0,0,2
SLPP,2,1,0,1,1
Social Welfare Officer,7,7,0,7,0
Sr. Entomologist,1,1,0,1,0
Sr. Metron,5,0,0,0,5
Sr. Occupational Theraphy,1,0,0,0,1
Sr. Physio Therapist,1,1,0,1,0
Sr. Supervisor,1,0,0,0,1
Statistical Officer,3,3,0,3,0
Statistician,81,16,0,16,65
Virologist,1,1,0,1,0
OSD,643,675,215,890,-247
Sub-Total :,"11,398","5,133","1,438","6,571","4,827"
Total : (Class-I),"16,797","8,510","2,067","10,577","6,220"
Class II,,,,,
Scale : 10 (5100-280*7-7060-300*11-10360),,,,,
Academic Secretary,1,1,0,1,0
Academic Secretary,1,0,0,0,1
Accounts Officer,15,12,1,13,2
Accounts Officer,1,0,0,0,1
Administrative Officer,76,56,0,56,20
Administrative Officer,13,10,1,11,2
Asstt. Administrative Officer,1,1,0,1,0
Asstt. Bateriologist,1,0,0,0,1
Asstt. Bio-Chemist,2,2,0,2,0
Asstt. Budget Officer,1,1,0,1,0
Asstt. Computer Analyst,6,5,0,5,1
Asstt. Epidemiologist,1,0,0,0,1
