0,1,2,3,4,5,6,7,8,9,10,11
Sl.,Division,2001,,2002,,2003,,2004,,2005,
No.,,Attack,Death,Attack,Death,Attack,Death,Attack,Death,Attack,Death
1,Barisal,25202,33,19869,19,14412,11,17986,19,15078,12
2,Chittagong,337838,166,512215,296,379276,265,432829,277,405446,162
3,Dhaka,518951,101,667406,140,610181,221,606782,172,606302,165
4,Khulna,349735,56,528556,60,455683,82,401339,98,428502,81
5,Rajshahi,412531,65,519503,121,528211,285,474848,382,441132,247
6,Sylhet,213207,100,251296,96,209156,168,198650,119,144467,27
,,,,,,,,,,,
Total,,1857464,521,2498845,732,2196919,1032,2132434,1067,2040927,694
,,,,,,,,,,,
