0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Sl No.,,,"Name of Institution &
Location",,,No. of X-Ray Machine,,,,,,,,,,,,,,,Remarks,,
,,,,,,Total,,,Servicable (mA),,,,Unservicable,,Repairable (mA),,,,Non-repairable,,,,
,,,,,,,,,,,,,(mA),,,,,,(mA),,,,
,1,,,2,,,3,,,4,,,5,,,6,,,7,,,8,
30,,,"General Hospital, Jessore",,,04,,,"02
500 M.A 1
100 M.A 1",,,"02
300 M.A 2",,,"02
300 M.A 2",,,,,,,,
31,,,"General Hospital, Khulna",,,03,,,"03
500,300,100HjH",,,,,,,,,,,,,,
32,,,"General Hospital, Jhinaidah",,,03,,,"02
300 M.A
100 M.A - 2",,,"01
120 M.A - 1",,,"01
120 M.A - 1",,,,,,,,
33,,,"General Hospital, Norail",,,03,,,"03
500 M.A 1, 100 M.A 1
10 M.A 1",,,,,,-,,,-,,,,,
34,,,"Sadar Hospital, Magura",,,04,,,"02
100 M.A 1
10 M.A 1",,,"02
100-1
30 - 1",,,"02
100-1
30-1",,,,,,,,
35,,,"Sadar Hospital, Shatkhira",,,02,,,"01
100 M.A 1",,,"01
500 M.A 1",,,"01
500 -1",,,,,,,,
36,,,"Sadar Hospital, Bagerhat",,,02,,,-,,,"02
100 M.A 1
20 M.A 1",,,100 M.A -1,,,20 M.A -1,,,,,
37,,,"General Hospital, Kushtia",,,02,,,"02
300,20 M.A",,,-,,,-,,,,,,,,
38,,,"General Hospital, Meherpur",,,04,,,"04
300 M.A 1, 100 M.A 2
50 M.A 1",,,-,,,-,,,,,,,,
39,,,"Sadar Hospital, Chuadanga",,,05,,,02,,,03,,,03,,,02,,,,,
40,,,"General Hospital, Noakhali",,,0,,,"02
300 M.A 1",,,,,,,,,,,,,,
41,,,"General Hospital, Chittagong",,,03,,,"03
500,300,20 M.A",,,-,,,-,,,,,,,,
42,,,"Jilla Hospital, Chandpur",,,02,,,"01
500 M.A 1",,,"01
120 M.A 1",,,"01
120 M.A 1",,,,,,,,
43,,,"Sadar Hospital, Rangamati",,,02,,,01,,,01,,,01,,,,,,,,
