0,1,2,3,4
Union Sub Centers (USC) And UH&FWC,,,,
,,Nandigram,45,"Sonatala UH&FWC, Sonatala, Bogra"
,40,"Basho(thalta Majgram) USC, Nandigram, Bogra",46,"Valurpara (Jorgacha) UH&FWC, Sonatala, Bogra"
,41,"Kuhuli(burail) Union Sub Center , Nandigram , Bogra",,Dhunat
,42,"Kumira(Bhatra) Union Sub Center , Nandigram , Bogra",47,"Bhandarbari Union Sub Center , Dhunat , Bogra"
,43,"Nandigram Union Sub Center , Nandigram , Bogra",48,"Gopalnagar Union Sub Center , Dhunat , Bogra"
,,Sonatala,49,"Gossainbari Union Sub Center , Dhunat , Bogra"
,44,"Balua Union Sub Center , Sonatala , Bogra",50,"Kalerpara Union Sub Center , Dhunat , Bogra"
,Joypurhat District,,,
,Kalai,,7,"Khanjanpur Union Sub Center , Sadar , Joypurhat"
,1,"Matrai Union Sub Center , Kalai , Joypurhat",8,"Ramnagar(dhalahar) USC, Sadar, Joypurhat"
,2,"Molamgari(zindarpur) USC, Kalai , Joypurhat",Panchbibi,
,3,"Punat Union Sub Center , Kalai , Joypurhat",9,"Aolai Union Sub Center , Panchbibi , Joypurhat"
,Joypurhat Sadar,,10,"Panchbibi(Balighata) USC, Panchbibi, Joypurhat"
,4,"Amdi Union Sub Center , Joypurhat Sadar , Joypurhat",Akkelpur,
,5,"Chakbarkat Union Sub center , Sadar , Joypurhat",11,"Jamalganj(rukindipur) USC , Akkelpur , Joypurhat"
,6,"Gopalpur(Badsha) Union Sub Center, Sadar,Joypurhat",12,"Sonamukhi Union Sub Center , Akkelpur , Joypurhat"
,Rangpur District,,,
,Pirgacha,,19,"Milanpur Union Sub Center , Mithapukur , Rangpur"
,1,"Itakumari Union Sub Center , Pirgacha , Rangpur",20,"Mirzapur Union Sub Center , Mithapukur , Rangpur"
,2,"Kaikuri Union Sub Center , Pirgacha , Rangpur",21,"Moyenpur Union Sub Center , Mithapukur , Rangpur"
,3,"Parul Union Sub Center , Pirgacha , Rangpur",Pirganj,
,4,"Tambulpur Union Sub Center , Pirgacha , Rangpur",22,"Bhenda Bari Union Sub Center , Pirganj , Rangpur"
,Gangachara,,23,"Chattra Union Sub Center , Pirganj , Rangpur"
,5,"Betgari Union Sub Center , Gangachara , Rangpur",24,"Chittro Kole Union Sub Center , Pirganj , Rangpur"
,6,"Gajaghanta Union Sub Center , Gangachara , Rangpur",25,"Kezmatpur(ramanathpur) USC, Pirganj, Rangpur"
,Baderganj,,26,"Khalaspir(gadarkali) USC, Pirganj , Rangpur"
,7,"Baderganj Union Sub Center , Baderganj , Rangpur",27,"Madarganj(mithipur) USC, Pirganj , Rangpur"
,8,"Gopalpur Union Sub Center , Baderganj , Rangpur",28,"Shanerhat Union Sub Center , Pirganj , Rangpur"
,9,"Kutubpur Union Sub Center , Baderganj , Rangpur",29,"Tuknipara(baradargah) USC, Pirganj , Rangpur"
,10,"Raddha Nagar Union Sub Center , Baderganj , Rangpur",30,"Zaforerpara Union Sub Center , Pirganj , Rangpur"
,Mithapukur,,Kownia,
,11,"Balua Masumpur USC , Mithapukur , Rangpur",31,"Kursha Union Sub Center , Kownia , Rangpur"
,12,"Bara Hajratpur USC , Mithapukur , Rangpur",32,"Tapa Madhupur USC, Kownia , Rangpur"
,13,"Barabala Union Sub Center , Mithapukur , Rangpur",Taraganj,
,14,"Chanmari Union Sub Center , Mithapukur , Rangpur",33,"Taraganj Union Sub Center , Taraganj , Rangpur"
,15,"Durgapur Union Sub Center , Mithapukur , Rangpur",Rangpur Sadar,
,16,"Emdadpur Union Sub Center , Mithapukur , Rangpur",34,"Dorshona USC, Rangpur Sadar , Rangpur"
,17,"Gopalpur Union Sub Center , Mithapukur , Rangpur",35,"Haridevpur USC, Rangpur Sadar , Rangpur"
,18,"Khoragach Union Sub Center , Mithapukur , Rangpur",36,"Kundi Union Sub Center , Rangpur Sadar , Rangpur"
,Rangpur Sadar,,,
,37,"Satgora Union Sub Center, Rangpur Sadar , Rangpur",39,"Tamphat Union Sub Center , Sadar , Rangpur"
,38,"Tajhat Union Sub Center , Rangpur Sadar , Rangpur",40,"Topadhan Union Sub Center , Sadar , Rangpur"
,Nilphamari District,,,
,,Saidpur,5,"Jaldhaka Union Sub Center , Jaldhaka , Nilphamari"
,1,"Hazzari Hat USC, Saidpur, Nilphamari",6,"Mirganj Union Sub Center , Jaldhaka , Nilphamari"
,,Kishoreganj,7,"Tangonmari(khutamara) USC, Jaldhaka, Nilphamari"
,2,"Magura Union Sub Center , Kishoreganj , Nilphamari",,Domar
,3,"Musrat Panialpukur USC , Kishoreganj , Nilphamari",8,"Bamunia Union Sub Center , Domar , Nilphamari"
,,Jaldhaka,9,"Chilahati Union Sub Center , Domar , Nilphamari"
,4,"Golna Union Sub Center , Jaldhaka , Nilphamari",10,"Domar Union Sub Center , Domar , Nilphamari"
