0,1,2,3,4
Union Sub Centers (USC) And UH&FWC,,,,
,,Shibchar,,Kalkini
,6,"Nilokhi Union Sub Center , Shibchar , Madaripur",10,"Dasher Union Sub Center , Kalkini , Madaripur"
,7,"Bandarkhola(matbarrcha) USC , Shibchar , Madaripur",11,"Gopalpur Union Sub Center , Kalkini , Madaripur"
,8,"Dattapara Union Sub Center , Shibchar , Madaripur",12,"Khaserhat(bansgari) USC, Kalkini , Madaripur"
,,Madaripur Sadar,13,"Shahebrampur USC, Kalkini , Madaripur"
,9,"Chargobindapur USC, Madaripur Sadar, Madaripur",,
,Shariatpur District,,,
,Zazira,,Naria,
,1,"Bara krishnagar Union Sub Center, Zanzira, Shariatpur",10,"Bhogeswar Union Sub Center , Naria , Shariatpur"
,2,"Bilaspur Union Sub Center , Zanzira , Shariatpur",11,"Naria Union Sub Center , Naria , Shariatpur"
,3,"Lawkhola(mulna) USC , Zanzira , Shariatpur",12,"Nasason Union Sub Center , Naria , Shariatpur"
,Damuddya,,13,"Panditsar Union Sub Center , Naria , Shariatpur"
,4,"Kaneswar Union Sub Center , Damuddya , Shariatpur",Goshairhat,
,Bhedarganj,,14,"Haturia Union Sub Center , Goshairhat , Shariatpur"
,5,"Gazipur Union Sub Center , Bhedarganj , Shariatpur",Sariatpur Sadar,
,6,"Kartickpur Union Sub Center , Bhedarganj , Shariatpur",15,"Angaria Union Sub Center , Sadar , Shariatpur"
,7,"Lakarta(chhaygaon() USC , Bhedarganj , Shariatpur",16,"Chikonda Union Sub Center , Sadar , Shariatpur"
,8,"Mahisar Union Sub Center , Bhedarganj , Shariatpur",17,"Domshar Union Sub Center , Sadar , Shariatpur"
,9,"Sakhipur Union Sub Center , Bhedarganj , Shariatpur",18,"Palong Union Sub Center , Sadar , Shariatpur"
,Tangail District,,,
,Mirzapur,,25,"Lawfala UH&FWC, Modhupur , Tangail"
,1,"Anaitara Union Sub Center , Mirzapur , Tangail",26,"Modhupur Union Sub Center , Modhupur , Tangail"
,Mirzapur,,27,"Paiska UH&FWC, Modhupur , Tangail"
,2,"Chowalibazar Union Sub Center, Mirzapur, Tangail",,Kalihati
,3,"Fatepur Union Sub Center , Mirzapur , Tangail",28,"Ellenga Union Sub Center , Kalihati , Tangail"
,4,"Gollachara(bahuria) USC , Mirzapur , Tangail",29,"Kalihati Union Sub Center , Kalihati , Tangail"
,5,"Jamurki Union Sub Center , Mirzapur , Tangail",30,"Kokdohora Union Sub Center , Kalihati , Tangail"
,Ghatail,,31,"Nagbari Union Sub Center , Kalihati , Tangail"
,6,"Anehala Union Sub Center , Ghatail , Tangail",32,"Salla Union Sub Center , Kalihati , Tangail"
,7,"Bramansasan Union Sub Center , Ghatail , Tangail",33,"Shahadebpur Union Sub Center , Kalihati , Tangail"
,8,"Deopara Union Sub Center , Ghatail , Tangail",Sakhipur,
,9,"Dhalapara Union Sub Center , Ghatail , Tangail",34,"Bagerbari(kakrajan) USC, Sakhipur , Tangail"
,10,"Pakutia(deolabari) Union Sub Center, Ghatail, Tangail",35,"Baheratail Union Sub Center , Sakhipur , Tangail"
,11,"Raghunathpur(rasulpur) USC , Ghatail , Tangail",36,"Barachana Union Sub Center , Sakhipur , Tangail"
,Bhuapur,,37,"Sakhipur Union Sub Center , Sakhipur , Tangail"
,12,"Arjuna Union Sub Center , Bhuapur , Tangail",Nagarpur,
,13,"Bhuapur Union Sub Center , Bhuapur , Tangail",38,"Bhadra Union Sub Center , Nagarpur , Tangail"
,14,"Gobindashi Union Sub Center , Bhuapur , Tangail",39,"Gayhata Union Sub Center , Nagarpur , Tangail"
,15,"Nikrail Union Sub Center , Bhuapur , Tangail",40,"Katchpai Union Sub Center , Nagarpur , Tangail"
,16,"Shialkol Union Sub Center , Bhuapur , Tangail",41,"Kedarpur Union Sub Center , Nagarpur , Tangail"
,Modhupur,,42,"Pakutia Union Sub Center , Nagarpur , Tangail"
,17,"Alokdia Union Sub Center , Modhupur , Tangail",43,"Shahajadi Union Sub Center , Nagarpur , Tangail"
,18,"Ambaria Union Sub Center , Modhupur , Tangail",Delduar,
,19,"Dhanbari Union Sub Center , Modhupur , Tangail",44,"Daojan(pathrail) USC, Delduar , Tangail"
,20,"Golabari UH&FWC, Modhupur , Tangail",45,"Delduar Union Sub Center , Delduar , Tangail"
,21,"Jamsherpur UH&FWC, Modhupur , Tangail",46,"Lauhati Union Sub Center , Delduar , Tangail"
,22,"Kenduabazar Union Sub Center , Modhupur , Tangail",Basail,
,23,"Kuralia UH&FWC, Modhupur , Tangail",47,"Basail Union Sub Center , Basail , Tangail"
,24,"Kuralia Union Sub Center , Modhupur , Tangail",48,"Moytha(Fulki) Union Sub Center , Basail , Tangail"
