0,1,2,3,4,5,6,7
,,,,,,,
,,Year,,,,,
Sl.,,,,,,,
,Description of subject,,,,,,
No.,,,,,,,
,,2002,2003,2004,2005,2006,Total
,,,,,,,
,,,,,,,
1,How many cinemas have been displayed,17013,171328,610,1915,460,191326
2,"Readymade Proclamation & Circulation in
Mike",358792,252920,8074,1879,393,622058
3,Number of Organized Health Fair Circulations,16590,15750,195,187,65,32787
4,Health Bulletin & Short Story in Radio.,127762,106250,116,231,6,234365
5,Circulation of Health Bulletin in TV,60521,22150,114,179,10,82974
6,Circulation of Health Bulletin in Newspaper.,1231,1058,162,216,30,2697
7,"Circulation Messages/Theme of different
National & International days/weeks in Beter &
TV channels.",12723,15875,182,287,76,29143
8,"Health Education during Flood/ Epidemic,
Natural Calamities/ Emergencies.",1207,1385,130,138,35,2895
