0,1,2,3,4
Upazila Health Complexes,,,,
Dhaka Division,,,,
Dhaka,,Munshiganj,,
1,"Dhamrai Upazila Health Complex , Dhaka",1,,"Gazaria Upzila Health Complex , Munshiganj"
2,"Dohar Upazila Health Complex , Dhaka",2,,"Louhajang Upazila Health Complex , Munshiganj"
3,"Keraniganj Upazila Health Complex , Dhaka",3,,"Serajdikhan Upazila Health Complex , Munshiganj"
4,"Nawabganj Upazila Health Complex , Dhaka",4,,"Sreenagar Upzila Health Complex , Munshiganj"
5,"Savar Upazila Health Complex , Dhaka",5,,"Tungibari Upazila Health Complex , Munshiganj"
Narayanganj,,Manikganj,,
1,"Araihazar Upazila Health Complex , Narayanganj",1,"Daulatpur Upazila Health Complex , Manikganj",
2,"Bandar Upazila Health Complex , Narayanganj",2,"Ghior Upazila Health Complex , Manikganj",
3,"Rupganj Upazila Health Complex , Narayanganj",3,"Harirampur Upazila Health Complex , Manikganj",
4,"Sonargaon Upazila Health Complex , Narayanganj",4,"Saturia Upazila Health Complex , Manikganj",
,Gazipur,5,"Shibalaya Upazila Health Complex , Manikganj",
1,"Kaliakair Upazila Health Complex , Gazipur",6,"Singair Upazila Health Complex , Manikganj",
2,"Kaliganj Upazila Health Complex , Gazipur",,Jamalpur,
3,"Kapasia Upazila Health Complex , Gazipur",1,"Bakshiganj Upazila Health Complex , Jamalpur",
4,"Sreepur Upazila Health Complex , Gazipur",2,"Dewanganj Upazila Health Complex , Jamalpur",
,Narsingdi,3,"Islampur Upazila Health Complex , Jamalpur",
1,"Belabo Upazila Health Complex , Narsingdi",4,"Madarganj Upazila Health Complex , Jamalpur",
2,"Monohardi Upazila Health Complex , Narsingdi",5,"Melandaha Upazila Health Complex , Jamalpur",
3,"Palash Upazila Health Complex , Narsingdi",6,"Sarisabari Upazila Health Complex , Jamalpur",
4,"Raipura Upazila Health Complex , Narsingdi",,Sherpur,
5,"Shibpur Upazila Health Complex , Narsingdi",1,"Jhenaigati Upazila Health Complex , Sherpur",
,Faridpur,2,"Nakhla Upazila Health Complex , Sherpur",
1,"Alfadanga Upazila Health Complex , Faridpur",3,"Nalitabari Upazila Health Complex , Sherpur",
2,"Bhanga Upazila Health Complex , Faridpur",4,"Sribardi Upazila Health Complex , Sherpur",
3,"Boalmari Upazila Health Complex , Faridpur",,Mymensingh,
4,"Charbhadrason Upazila Health Complex , Faridpur",1,"Bhaluka Upazila Health Complex , Mymensingh",
5,"Modhukhali Upazila Health Complex , Faridpur",2,"Dhubaura Upazila Health Complex , Mymensingh",
6,"Nagarkanda Upazila Health Complex , Faridpur",3,"Fulbaria Upazila Health Complex , Mymensingh",
7,"Sadarpur Upazila Health Complex , Faridpur",4,"Fulpur Upazila Health Complex , Mymensingh",
,Rajbari,5,"Gofargaon Upazila Health Complex , Mymensingh",
1,"Baliakandi Upazila Health Complex , Rajbari",6,"Gouripur Upazila Health Complex , Mymensingh",
2,"Goalandaghat Upazila Health Complex , Rajbari",7,"Haluaghat Upazila Health Complex , Mymensingh",
3,"Pangsha Upazila Health Complex , Rajbari",8,"Iswarganj Upazila Health Complex , Mymensingh",
,Gopalganj,9,"Muktagacha Upazila Health Complex , Mymensingh",
1,"Kassiani Upazila Health Complex , Gopalganj",10,"Nandail Upazila Health Complex , Mymensingh",
2,"Kotwalipara Upazila Health Complex , Gopalganj",11,"Trisal Upazila Health Complex , Mymensingh",
3,"Mukshedpur Upazila Health Complex , Gopalganj",,Netrokona,
4,"Tungipara Upazila Health Complex , Gopalganj",1,"Atpara Upazila Health Complex , Netrokona",
,Madaripur,2,"Barhatta Upazila Health Complex , Netrokona",
1,"Kalkini Upazila Health Complex , Madaripur",3,"Durgapur Upazila Health Complex , Netrokona",
2,"Rajoir Upazila Health Complex , Madaripur",4,"Kalmakanda Upazila Health Complex , Netrokona",
