0,1,2,3,4,5,6,7
,,,,,,,
,,Year,,,,,
Sl. No.,Description of subject,,,,,,
,,,,,,,
,,2002,2003,2004,2005,2006,Total
,,,,,,,
1,EPI,1324800,153750,23246,4637,2464,1508897
2,Emergency Maternal Service,76800,72800,1474,3174,1228,155476
3,Reproductive Health,105720,162835,2724,1005,1166,273450
4,National Nutrition Activities,2780,30527,1631,1792,1368,38098
5,STD/AIDS,18015,21018,950,1406,1086,42475
6,Malaria/Kalaazar/Dengue,102583,207482,1224,3217,238,314744
7,TB/Leprosy,152180,236217,176,624,500,389697
8,Help in Family Planning,201612,27565,965,1107,1200,232449
9,Safe Water & Sewerage,235812,371228,3224,3200,2180,615644
10,Diarrhoea,301782,78523,5032,6039,1452,392828
11,Arsenic,10787,62623,1236,2292,1296,78234
12,Goiter,73587,29175,967,438,198,104365
13,Others,187923,127583,496,566,290,316858
