0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Sl No.,,,"Name of Institution &
Location",,,No. of X-Ray Machine,,,,,,,,,,,,,,,Remarks,,
,,,,,,Total,,,Servicable (mA),,,,Unservicable,,Repairable (mA),,,,Non-repairable,,,,
,,,,,,,,,,,,,(mA),,,,,,(mA),,,,
,1,,,2,,,3,,,4,,,5,,,6,,,7,,,8,
,,,,,,,,,,,,,,,,,,,,,"CMSD did not
supply.",,
19,,,"Sadar Hospital, Thakurgaon",,,04,,,"01
100 M.A 1",,,"03
300 - 1
100 - 2",,,"02
300 M.A 1
100 M.A 1",,,"01
100 M.A 1",,,,,
20,,,"General Hospital, Shirajgonj",,,03,,,"03
300 M.A 2
36 M.A 1",,,-,,,-,,,,,,"1 300 M.A X-
Ray machine
ready for
installation.",,
21,,,"Sadar Hospital, Nilfamari",,,03,,,"02 300 M.A, e¤ae
plhl¡qLªa M.A has not
found of newly
supplied machine",,,"01
100 M.A 1",,,-,,,"01
100 M.A 1",,,,,
22,,,"Sadar Hospital, Natore",,,03,,,"01
300 M.A 1",,,"02
150 M.A 1
100 M.A 1",,,"02
150 M.A 1
100 M.A 1",,,,,,,,
23,,,"Sadar Hospital, Ponchogor",,,01,,,"01
300 M.A 1",,,-,,,-,,,,,,,,
24,,,"Sadar Hospital, Nauga",,,02,,,"01
300 M.A 1",,,100 M.A -1,,,-,,,100 M.A -1,,,,,
25,,,"Sadar Hospital,
Chapainobabgonj",,,02,,,"01
100 M.A 1",,,"01
50 M.A 1",,,"01
50 M.A 1",,,,,,,,
26,,,"Sadar Hospital, Gaibandha",,,01,,,"01
100 M.A 1",,,-,,,-,,,,,,,,
27,,,Kurigram Sadar Hospital,,,02,,,"01
300 M.A 1",,,"01
100 M.A 1",,,"01
100 M.A 1",,,,,,,,
28,,,"Sadar Hospital, Lalmonirhat",,,04,,,"04
300 M.A 1
100 M.A 2
4 (Dental) 1",,,-,,,-,,,,,,,,
29,,,"Sadar Hospital, Joypurhat",,,06,,,"05
300 M.A 1, 100 M.A 3
Dental-1",,,"01
36 M.A 1",,,"01
36 M.A 1",,,,,,,,
