0,1,2,3,4
Union Sub Centers (USC) And UH&FWC,,,,
,Pabna District,,,
,Atghoria,,Pabna Sadar,
,1,"Ekdanta Union Sub Center , Atghoria , Pabna",2,"Dapunia Union Sub Center , Pabna Sadar , Pabna"
,Sujanagar,,Chatmohar,
,3,"Bhatikaya UH&FWC, Sujanagar, Pabna",9,"Chaikhola Union Sub Center , Chatmohar , Pabna"
,4,"Talimnagar Union Sub Center , Sujanagar , Pabna",10,"Shitlai Union Sub Center , Chatmohar , Pabna"
,5,"Tatiband Union Sub Center , Sujanagar , Pabna",,
,Bera,,Santhia,
,6,"Haturiankalia Union Sub Center , Bera , Pabna",11,"Haludgar Union Sub Center , Santhia , Pabna"
,7,"Natun Bharenga Union Sub Center , Bera , Pabna",12,"Kashinatpur Union Sub Center , Santhia , Pabna"
,8,"Rajnarayanpur Union Sub Center , Bera , Pabna",13,"Ketupara Union Sub Center , Santhia , Pabna"
,Serajganj District,,,
,Shahzadpur,,16,"Dabirganj(ramkirnapur) USC , Ullapara , Serajganj"
,1,"Gala(Brihatkoyra) USC , Shahzadpur , Serajganj",17,"Udhunia Union Sub Center , Ullapara , Serajganj"
,2,"Kaizuri Union Sub Center , Shahzadpur , Serajganj",18,"Ullapara Union Sub Center , Ullapara , Serajganj"
,3,"Khukni Union Sub Center , Shahzadpur , Serajganj",Kazipur,
,4,"Narina UH&FWC, Shahzadpur, Serajganj",19,"Chaliatadanga USC, Kazipur , Serajganj"
,5,"Porjona Union Sub Center , Shahzadpur , Serajganj",20,"Gandhail Union Sub Center , Kazipur , Serajganj"
,6,"Putia Union Sub Center , Shahzadpur , Serajganj",21,"Sonamukhi Union Sub Center , Kazipur , Serajganj"
,7,"Shahazadpur Union Sub Center, Shahzadpur, Serajganj",22,"Tanglahata Union Sub Center , Kazipur , Serajganj"
,8,"Sonatoni Union Sub Center , Shahzadpur , Serajganj",Chowhali,
,Raiganj,,23,"Khamar Gram USC, Chowhali , Serajganj"
,9,"Dhubil Union Sub Center , Raiganj , Serajganj",24,"Mirkutia Union Sub Center , Chowhali , Serajganj"
,10,"Salanga(ghurka) Union Sub Center , Raiganj , Serajganj",,
,Tarash,,Serajganj Sadar,
,11,"Dubila(magurabindu) USC , Tarash , Serajganj",25,"Bagbati Union Sub Center , Sadar , Serajganj"
,Belkuchi,,26,"Hut Pang Union Sub Center , Sadar , Serajganj"
,12,"Sohagpur Union Sub Center , Belkuchi , Serajganj",27,"Kalia Haripur UH&FWC, Serajganj Sadar, Serajganj"
,13,"Tamai UH&FWC, Belkuchi, Serajganj",28,"Koyel Gati Union Sub Center, Sadar, Serajganj"
,Ullapara,,29,"Ratonkandi Union Sub Center , Sadar , Serajganj"
,14,"Amdanga(harikumpul) USC, Ullapara, Serajganj",30,"Saydabad UH&FWC, Serajganj Sadar, Serajganj"
,15,"Barapangasi Union Sub Center , Ullapara , Serajganj",31,"Songacha Union Sub Center , Sadar, Serajganj"
,KHULNA DIVISION,,,
,Khulna District,,,
,Paikgacha,,Terakhada,
,1,"Agarhata Union Sub Center , Paikgacha , Khulna",9,"Ajogara Union Sub Center , Terakhada , Khulna"
,2,"Bankabhabanipur(Laskar) USC , Paikgacha , Khulna",Fultala,
,3,"Chandkhali Union Sub Center , Paikgacha , Khulna",10,"Dakhindihi(Atra Gilatala) USC , Fultala , Khulna"
,4,"Garuikhali Union Sub Center , Paikgacha , Khulna",Dighalia,
,5,"Katipara(Raruli) Union Sub Center, Paikgacha, Khulna",11,"Daulatpur(Barakpur) USC, Dighalia , Khulna"
,6,"Paikgacha Union Sub Center , Paikgacha , Khulna",12,"Gazirhat Union Sub Center , Dighalia , Khulna"
,Batiaghata,,13,"Senhati Union Sub Center , Dighalia , Khulna"
,7,"Gowghara Union Sub Center , Batiaghata , Khulna",Koyra,
,8,"Shialdanga Union Sub Center , Batiaghata , Khulna",14,"Koyra Bedkashi Union Sub Center , Koyra , Khulna"
,Bagerhat District,,,
,,Morrelganj,4,"Mulghar UH&FWC, Fakirhat, Bagerhat"
,1,"Daibagaohati Union Sub Center , Morrelganj , Bagerhat",5,"Nawapara(Piljonga) USC , Fakirhat , Bagerhat"
,,Fakirhat,6,"Tekateya (Shuvadia) UH&FWC, Fakirhat, Bagerhat"
,2,"Bahirdeya UH&FWC, Fakirhat, Bagerhat",,Fakirhat
,3,"Lakhpur UH&FWC, Fakirhat, Bagerhat",7,"Gaola UH&FWC, Fakirhat, Bagerhat"
