0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,,2001,,,2002,,,2003,,,2004,,,2005,,
Sl.No,Name of the Subjects,,,,,,,,,,,,,,,
,,M,F,T,M,F,T,M,F,T,M,F,T,M,F,T
,,,,,,,,,,,,,,,,
1,2,12,13,14,18,19,20,24,25,26,30,31,32,36,37,38
1,Medicine,14,0,14,10,2,12,36,1,37,30,0,30,22,2,24
2,Surgery,17,0,17,30,3,33,26,2,28,30,1,31,24,1,25
3,Pediatrics,6,0,6,7,2,9,3,2,5,10,1,11,10,4,14
4,Obst & Gynae,3,14,17,0,21,21,2,34,36,0,39,39,5,65,70
5,Ophthalmology,2,2,4,3,0,3,2,0,2,7,2,9,10,1,11
6,Psychiatry,,,0,1,0,1,,,0,2,1,3,1,0,1
7,Anesthesiology,1,0,1,2,1,3,5,2,7,6,3,9,12,2,14
8,Bio-Chemistry,,,0,0,1,1,0,1,1,0,1,1,,,0
9,Cardiology,,,0,,,0,,,0,,,0,,,0
10,Skin &VD,3,0,3,2,0,2,0,1,1,2,0,2,1,2,3
11,Radiology & Imaging,,,0,3,0,3,3,0,3,3,1,4,2,3,5
12,Orthopaedic Surgery,,,0,,,0,,,0,,,0,,,0
13,Traumatology,,,0,,,0,,,0,,,0,,,0
14,Physical Medicine & Rehabi.,1,0,1,,,0,0,1,1,1,0,1,2,1,3
15,Paediatrics Surgery,,,0,,,0,,,0,,,0,,,0
16,Otolaryngology,1,0,1,1,0,1,5,1,6,3,1,4,9,0,9
17,Histopathology,1,0,1,,,0,,,0,,,0,,,0
18,Microbiology,2,0,2,0,2,2,,,0,1,0,1,1,0,1
19,Urology,,,0,,,0,1,0,1,,,0,,,0
20,Radiotherapy,,,0,,,0,1,1,2,1,0,1,,,0
21,Dentistry & Endodontics,,,0,,,0,,,0,,,0,,,0
22,Haematology,1,1,2,0,2,2,4,1,5,2,0,2,2,0,2
23,Oral & Maxillofacial Surgery,,,0,,,0,0,1,1,,,0,2,0,2
,Total,52,17,69,59,34,93,88,48,136,98,50,148,103,81,184
