0,1,2,3,4,5,6,7,8,9
,Name of the Institute,,,,Course,,,Subject,
,,,,FCPS,,,"Anaeshesiology, Biochemistry, Conservative Dentistry, Dermatology &
Venereology, Haematology, Oral & Maxillofacial Surgery, Medicine,
Microbiology, Obstetrics & Gynaecology, Ophthalmology, Orthodontics,
Otolaryngology, Paediatrics, Physical Medicine, Prosthodontics,
Psychiatry, Radiology & Imaging, Radiotherapy, Surgery.",,
2,,"Bangladesh College of
Physicians and Surgeons
(BCPS), Mohakhali, Dhaka.",,FCPS,,,"Medicine, Surgery, Paediatrics, Gynae. & Obs., Ophthalmology,
Otolaryngology, Psychiatry, Anaesthesiology, Radiology & Imaging,
Radiotherapy, Dermatology & Venereology, Physical Medicine &
Rehabilitation, Haematology, Biochemistry, Histopathology,
Microbiology, Conserative Dentistry & Endodontics, Oral and
Maxillofacial Surgery, Prosthodontics, Orthodontics & Dentofacial
Orthopedics, Gastroenterology, Neurology, Nephrology, Endocrinology
& Metabolism, Cardiology, Pulmonology, Hepatology, Rheumatology,
Infectious Disease & Tropical Medicine, Urology, Neuro-Surgery,
Cardiovascular Surgery, Thoracic Surgery, Plastic and Reconstructive
Surgery, Orthopaedic Surgery, Paediatric Surgery, Neonatology,
Paediatric Haematology & Oncology, Paediatric Nephrology, Transfusion
Medicine and Family Medicine.",,
,,,,MCPS,,,"Medicine, Surgery, Paediatrics, Gyane. & Obs., Ophthalmology,
Otolaryngology, Psychiatry, Anaesthesiology, Radiology, Radiotherapy,
Dermatology & Venereology, Dental Surgery, Forensic Medicine, Family
Medicine & Clinical Pathology.",,
3,,"Bangladesh Institutre of
Research and Rehabilitation in
Diabetes, Endocrine and
Metabolic Disorders (BIRDEM),
Shahbagh, Dhaka",,PhD,,,,,
,,,,MD,,,"Endocrinology & Metabolism, Radiology & Imaging, Gastroenterology,
Internal Medicine, Neonatalogy.",,
,,,,MS,,,"Gynae & Obs, General Surgery, Ophthalmology.",,
,,,,M.Phil,,,"Biochemistry, Radiology & Imaging, Immunology.",,
,,,,Diploma,,,"Ophthalmology, Anesthesiology, Endocrinology & Metabolism,
Dermatology.",,
4,,"National Institute of Preventive
and Social Medicine (NIPSOM),
Mohakhali, Dhaka",,M.Phil,,,Preventive & Social Medicine.,,
,,,,MPH,,,"Community Medicine, Epidemiology, Health Promotion & Health
Education, Hospital Management, Nutrition, Occupational Environment
Health, Public Health Administrator, Reproductive Child Health.",,
5,,"National Institute of Mental
Health & Research (NIMH&R),
Sher-E-Bangla Nagar, Dhaka",,MD,,,Psychiatry.,,
6,,"National Institute of Kidney
Diseases & Urology (NIKD&U),
Sher-E-Bangla Nagar, Dhaka",,MD,,,Nephrology.,,
,,,,MS,,,Urology.,,
7,,"National Institute of
Ophthalmology (NIO), Sher-E-
Bangla Nagar, Dhaka.",,MS,,,Ophthalmology.,,
,,,,Diploma,,,Ophthalmology.,,
8,,"National Institute of
Traumatology & Orthopaedic
Rehabilitation (NITOR), Sher-E-
Bangla Nagar, Dhaka.",,MS,,,Orthopaedics.,,
,,,,Diploma,,,Orthopaedics.,,
9,,"National Institute of Cancer
Research and Hospital
(NICR&H), Mohakhali, Dhaka",,MD,,,"Medical Oncology, Radiation Oncology.",,
,,,,MS,,,Surgical Oncology.,,
10,,"National Institute of Diseases of
the Chest and Hospital
(NIDCH), Mohakhali, Dhaka",,MD,,,Disease of Chest.,,
,,,,MS,,,Thorachic Surgery.,,
,,,,Diploma,,,Disease of Chest.,,
11,,"National Institute of
Cardiovascular
Diseases(NICVD), Sher-E-
Bangla Nagar, Dhaka.",,MD,,,Cardiology.,,
,,,,MS,,,Cardiovascular & Thorasic Surgery.,,
,,,,Diploma,,,Cardiology.,,
12,,"Bangladesh Institute of Child
Health, Sher-e-Bangla Nagar,
Dhaka",,MD,,,Paediatrics.,,
,,,,MS,,,Paediatrics.,,
,,,,FCPS,,,Paediatrics.,,
,,,,Diploma,,,Child Health.,,
13,,"Institute of Nuclear Medicine
and Hospital, Dhaka",,M.Phil,,,"Microbiology, Pathology, Pharmacology, Physiology, Virology.",,
,,,,Diploma,,,Clinical Pathology.,,
