0,1,2,3,4,5,6,7,8,9,10
,Years,,,,,,,,,
Bed Occupancy,2001,,2002,,2003,,2004,,2005,
Level (in Percentage),,,,,,,,,,
,No.,%,No.,%,No.,%,No.,%,No.,%
Below 40%,9,3.73,4,1.29,3,0.93,3,0.84,7,2.1
40.01 – 50.00,10,4.15,16,5.16,4,1.25,7,1.97,8,2.1
50.01 – 60.00,26,10.79,23,7.42,11,3.43,23,6.46,17,4.8
60.01 – 70.00,46,19.09,68,21.94,29,9.03,22,6.18,41,12.31
70.01 – 80.00,58,24.07,72,23.23,38,11.84,75,21.07,56,16.52
80.01 – 90.00,13,13.28,51,16.45,83,25.86,70,19.66,94,27.63
90.01 – 100.00,30,12.45,45,14.52,73,22.74,82,23.03,77,22.22
100.01 – 110.00,15,6.22,16,5.16,34,10.59,52,14.61,26,7.81
110.01 - 120.00,11,4.56,9,2.9,33,10.28,14,3.93,21,5.71
120.01- 130.00,2,0.83,3,0.97,8,2.49,4,1.12,6,1.8
130.01 – 140.00,2,0.83,1,0.32,5,1.56,3,0.84,1,0.3
Above 140%,0,0,2,0.65,0,0,1,0.28,3,0.9
Total no.of Upazila,,,,,,,,,,
,241,100,310,100,321,100,356,100,343,100
Health Complexes,,,,,,,,,,
,,,,,,,,,,
