0,1,2,3,4,5,6,7,8
,Name of the Institute,,,,Course,,,Subject
14,,"Institute of Child and Mother
Health (ICMH), Matuail, Dhaka",,MD,,,Paediatrics,
,,,,MS,,,Gyne & Obs,
,,,,Diploma,,,"Paediatrics, Gyne & Obs,",
15,,"Chattagram Maa and Shishu &
General Hospital, Chittagong",,Diploma,,,"Paediatrics, Gyne & Obs",
16,,"National Heart Fundation
Hospital & Research Institute,
Mirpur, Dhaka",,MD,,,Cardiology.,
,,,,MS,,,Cardiothorasic Surgery.,
17,,"Lions Eye Institute & Hospital,
Lions Bhaban, Agragaon, Dhaka",,MS,,,Ophthalmology,
18,,"M.A.I. Institute of
Ophthalmology and Islamia
Hospital, Sher-e-Bangla Nagar,
Dhaka",,Diploma,,,Ophthalmology,
19,,"Institute of Child Health and
Shishu Hospital, Shishu Sasthya
Foundation, Bangladesh,
Mirpur-2, Dhaka",,Diploma,,,Paediatrics,
