0,1,2,3,4
Union Sub Centers (USC) And UH&FWC,,,,
,Singair,,Daulatpur,
,5,"Baira Union Sub Center , Singair , Manikganj",18,"Daulatpur Union Sub Center , Daulatpur , Manikganj"
,6,"Baldhara Union Sub Center , Singair , Manikganj",19,"Samgonj Hat(jeonpur) USC , Daulatpur , Manikganj"
,7,"Singair Union Sub Center , Singair , Manikganj",,
,Harirampur,,Saturia,
,8,"Azimnagar Union Sub Center, Harirampur, Manikganj",20,"Baliati Union Sub Center , Saturia , Manikganj"
,9,"Balora Union Sub Center , Harirampur , Manikganj",21,"Char Tilli Union Sub Center , Saturia , Manikganj"
,10,"Kanchanpur USC, Harirampur , Manikganj",22,"Daragram Union Sub Center , Saturia , Manikganj"
,11,"Lesragonj Union Sub Center, Harirampur, Manikganj",23,"Dhankora Union Sub Center , Saturia , Manikganj"
,12,"Zitka(gala) USC, Harirampur , Manikganj",24,"Dimukhi Union Sub Center , Saturia , Manikganj"
,Ghior,,Manikganj Sadar,
,13,"Baikantapur Union Sub Center , Ghior , Manikganj",25,"Bankhuri(Hatipara) USC, Sadar , Manikganj"
,14,"Ghior Union Sub Center , Ghior , Manikganj",26,"Betila Mitra USC , Manikganj Sadar , Manikganj"
,15,"Payla Union Sub Center , Ghior , Manikganj",27,"Garpara Union Sub Center , Sadar , Manikganj"
,16,"Zabra(baliakhura) USC, Ghior , Manikganj",28,"Krishnapur(Katigram) USC, Sadar , Manikganj"
,Daulatpur,,29,"Nabogram USC, Manikganj Sadar , Manikganj"
,17,"Bachamara Union Sub Center, Daulatpur, Manikganj",30,"Tilli Union Sub Center , Saturia , Manikganj"
,Gazipur District,,,
,Kapasia,,Kaliakair,
,1,"Kapasia Union Sub Center , Kapasia , Gazipur",9,"Benupur Union Sub Center , Kaliakair , Gazipur"
,2,"Toke Union Sub Center , Kapasia , Gazipur",10,"Chabagan Union Sub Center , Kaliakair , Gazipur"
,Kaliganj,,11,"Shakershar Union Sub Center , Kaliakair , Gazipur"
,3,"Kaliganj Union Sub Center , Kaliganj , Gazipur",12,"Kaliakair Union Sub Center , Kaliakair , Gazipur"
,Sreepur,,Gazipur Sadar,
,4,"Barmi Union Sub Center , Sreepur , Gazipur",13,"Azampur Union Sub Center, Gazipur Sadar, Gazipur"
,5,"Kaoraid Union Sub Center , Sreepur , Gazipur",14,"Datta Para Union Sub Center , Sadar , Gazipur"
,6,"Mawna Union Sub Center , Sreepur , Gazipur",15,"Kadda(Bashan) USC, Gazipur Sadar , Gazipur"
,7,"Rajendrapur(Rajabari) USC , Sreepur , Gazipur",16,"Mirzapur Union sub Center, Gazipur Sadar, Gazipur"
,8,"Sreepur Union Sub Center , Sreepur , Gazipur",17,"Salna(Kawaltia) USC, Gazipur Sadar , Gazipur"
,Narsingdi District,,,
,Raipura,,Shibpur,
,1,"Maddya Nagar(paratali) USC , Raipura , Narsingdi",10,"Kumardi Union Sub Center , Shibpur , Narsingdi"
,2,"Raipura Union Sub Center , Raipura , Narsingdi",11,"Putia(Saidnagar) USC, Shibpur , Narsingdi"
,Monohardi,,12,"Shibpur Union Sub Center , Shibpur , Narsingdi"
,3,"Barachapa Union Sub Center , Monohardi , Narsingdi",Belabo,
,4,"Gotashia Union Sub Center , Monohardi , Narsingdi",13,"Poradia Union Sub Center , Belabo , Narsingdi"
,5,"Kanchikata Union Sub Center , Monohardi , Narsingdi",Narsingdi Sadar,
,6,"Labutala Union Sub Center , Monohardi , Narsingdi",14,"Algi(madhabdi) USC, Narsingdi Sadar, Narsingdi"
,7,"Monahardi(shukundi) USC , Monohardi , Narsingdi",15,"Amdia Union Sub Center , Sadar , Narsingdi"
,Palash,,16,"Bhagirathpur USC, Narsingdi Sadar , Narshingdi"
,8,"Charsindur Union Sub Center , Palash , Narsingdi",17,"Bhatpara Union Sub Center , Sadar , Narsingdi"
,9,"Ghorasal Union Sub Center , Palash , Narsingdi",18,"Karimpur Union Sub Center , Sadar , Narsingdi"
,,,19,"Narsingdi Sadar USC, Sadar, Narsingdi"
,Faridpur District,,,
,Boalmari,,Bhanga,
,1,"Bangaswari(chandpur) USC, Boalmari, Faridpur",6,"Chandra Bazar UH&FWC, Bhanga, Faridpur"
,2,"Kadirdi(satair) USC, Boalmari , Faridpur",7,"Duair UH&FWC, Bhanga, Faridpur"
,3,"Khamarpara(hoshpur) USC, Boalmari , Faridpur",8,"Manikdah UH&FWC, Bhanga, Faridpur"
,4,"Khorsuti(moyna) USC, Boalmari , Faridpur",9,"Pathrail(azimnagar) UH&FWC, Bhanga, Faridpur"
,5,"Rupapath Union Sub Center , Boalmari , Faridpur",,
