0,1,2,3,4,5
Designation,Sanctioned,Existing,,,Vacant
,Post,Male,Female,Total,
Limb Maker,8,6,0,6,2
Machine Room Clerk,3,1,0,1,2
Micro Technician,1,1,0,1,0
Occupational Therapy Asstt.,1,0,0,0,1
Photographer,12,10,0,10,2
Programme Organisor,32,27,0,27,5
Projectionist,1,0,1,1,0
PT & OT Asstt.,6,4,1,5,1
PT & OT Technician,2,2,0,2,0
Quarantine Asstt.,3,2,0,2,1
Receptionist,1,1,0,1,0
Record Keeper,5,3,1,4,1
Recreational Therapy Asstt.,1,0,0,0,1
Rent Collector,2,0,2,2,0
Sanitary Inspector,2,2,0,2,0
Sr. ECG Technician,3,1,2,3,0
Sr. Eco Technician,1,1,0,1,0
Sr. Instrument Care Taker,1,1,0,1,0
Sr. Lab. Technician,3,2,1,3,0
Sr. Record Keeper,1,0,1,1,0
Statistical Asstt.,87,67,16,83,4
Statistician,461,370,38,408,53
Steno typist,182,127,25,152,30
Steward,29,26,0,26,3
Store Keeper,749,665,9,674,75
Store Supdt.,2,2,0,2,0
Store/Linen Keeper,3,2,1,3,0
Technician,2,1,0,1,1
Upper Division Asstt.,160,137,15,152,8
Ward Master,21,17,1,18,3
X_Ray Technician,1,1,0,1,0
Sub-Total :,"4,713","3,892",186,"4,078",635
Scale : 15 (3100-170*7-4290-190*11-6380),,,,,
Account Asstt.,6,5,0,5,1
Accountant,2,2,0,2,0
Ambulance Driver,1,0,0,0,1
Anaesthesia Technician,1,1,0,1,0
Asstt. Dietician,1,0,1,1,0
Asstt. Entomologist,3,0,0,0,3
Asstt. Health Inspector,"4,196","3,465",17,"3,482",714
Asstt. Nurse,"1,282",723,204,927,355
Asstt. Store Keeper,45,38,2,40,5
Audio Visual Operator,1,1,0,1,0
B.C.G. Technician,6,5,0,5,1
Cardiographer,16,13,1,14,2
Clerk Cum Librarian,1,0,0,0,1
