0,1,2,3,4
Union Sub Centers (USC) And UH&FWC,,,,
,CHITTAGONG DIVISION,,,
,Chittagong District,,,
,Fatikchari,,Sitakunda,
,1,"Bhonjpur Union Sub Center , Fatikchari , Chittagong",39,"Kumira Union Sub Center , Sitakunda , Chittagong"
,2,"Dantmara Union Sub Center , Fatikchari , Chittagong",Anwara,
,3,"Fatehpur Union Sub Center , Fatikchari , Chittagong",40,"Paraikora Union Sub Center , Anwara , Chittagong"
,4,"Fatikchari Union Sub Center , Fatikchari , Chittagong",41,"Tailardip Union Sub Center , Anwara , Chittagong"
,5,"Harwalchhari USC , Fatikchari , Chittagong",Hathazari,
,6,"Kanchan Nagar USC , Fatikchari , Chittagong",42,"Batua Union Sub Center , Hathazari , Chittagong"
,7,"Lelang Union Sub Center , Fatikchari , Chittagong",43,"Kutirhat(hathhazari) USC, Hathazari, Chittagong"
,8,"Nanupur Union Sub Center , Fatikchari , Chittagong",44,"Nangalmora USC, Hathazari , Chittagong"
,9,"Narayanhat Union Sub Center , Fatikchari , Chittagong",45,"Stuward Union Sub Center , Hathazari , Chittagong"
,10,"Paindong Union Sub Center , Fatikchari , Chittagong",46,"Uttar Madrasha USC, Hathazari , Chittagong"
,Sandwip,,Boalkhali,
,11,"Batajora Union Sub Center , Sandwip , Chittagong",47,"Boalkhali Union Sub Center , Boalkhali , Chittagong"
,12,"Musapur Union Sub Center , Sandwip , Chittagong",48,"Charandwip USC, Boalkhali , Chittagong"
,13,"South Sandwip(Maithbanga) USC, Sandwip,Chittagong",49,"Dharla Union Sub Center , Boalkhali , Chittagong"
,,,50,"Karaldanga USC, Boalkhali , Chittagong"
,Rowzan,,51,"Popadia Union Sub Center , Boalkhali , Chittagong"
,14,"Andarmaink Union Sub Center, Rowzan, Chittagong",52,"Shakpura Union Sub Center , Boalkhali , Chittagong"
,15,"Binajuri Union Sub Center , Rowzan , Chittagong",,
,16,"Gohera Union Sub Center , Rowzan , Chittagong",Chandanaish,
,17,"Kadalpur Union Sub Center , Rowzan , Chittagong",53,"Bailtali Union Sub Center , Chandanaish , Chittagong"
,18,"Mohamoni Union Sub Center , Rowzan , Chittagong",54,"Barma Union Sub Center , Chandanaish , Chittagong"
,19,"Noajishpur Union Sub Center , Rowzan , Chittagong",55,"Hassimpur USC, Chandanaish , Chittagong"
,20,"Noapara Union Sub Center , Rowzan , Chittagong",56,"Jayara Harala USC, Chandanaish , Chittagong"
,21,"Rowzan Union Sub Center , Rowzan , Chittagong",57,"Mohammadpur USC, Chandanaish , Chittagong"
,,,Satkania,
,Mirersarai,,58,"Bamanhat Union Sub Center , Satkania , Chittagong"
,22,"Abu Torab Union Sub Center , Mirersarai , Chittagong",59,"Bardana Union Sub Center , Satkania , Chittagong"
,23,"Chinki Astana USC, Mirersarai, Chittagong",60,"Kanchana Union Sub Center , Satkania , Chittagong"
,24,"Kamaralirhat USC , Mirersarai , Chittagong",61,"Nalua Khazaria USC, Satkania , Chittagong"
,25,"Mirsarai Union Sub Center , Mirersarai , Chittagong",62,"Satkania Union Sub Center , Satkania , Chittagong"
,26,"Mohaganhat Union Sub Center, Mirersarai, Chittagong",Lohagara,
,27,"Toumihani Union Sub Center , Mirersarai , Chittagong",63,"Adhunagar Union Sub Center , Lohagara , Chittagong"
,28,"Wahedpur Union Sub Center , Mirersarai , Chittagong",64,"Barahatia Union Sub Center , Lohagara , Chittagong"
,Baushkhali,,65,"Charamba Union Sub Center , Lohagara , Chittagong"
,29,"Bailchari Union Sub Center , Baushkhali , Chittagong",66,"Padua Union Sub Center , Lohagara , Chittagong"
,30,"Banigram Union Sub Center , Baushkhali , Chittagong",,
,31,"Puchari Union Sub Center , Baushkhali , Chittagong",Potiya,
,Rangunia,,67,"Barauthan Union Sub Center , Potiya , Chittagong"
,32,"Betagi Union Sub Center , Rangunia , Chittagong",68,"Budpura Union Sub Center , Potiya , Chittagong"
,33,"Dhamairhat Union Sub Center , Rangunia , Chittagong",69,"Dhalghat Union Sub Center , Potiya , Chittagong"
,34,"Hosnabad Union Sub Center , Rangunia , Chittagong",70,"Gurudasdatta Union Sub Center , Potiya , Chittagong"
,35,"Padua Union Sub Center , Rangunia , Chittagong",71,"Kelishahar Union Sub Center , Potiya , Chittagong"
,36,"Pomra Union Sub Center , Rangunia , Chittagong",72,"Panchuria Union Sub Center , Potiya , Chittagong"
,37,"Sharafbhata Union Sub Center , Rangunia , Chittagong",73,"Potiya Union Sub Center , Potiya , Chittagong"
,38,"Shilak Union Sub Center , Rangunia , Chittagong",,
