0,1,2,3,4
Union Sub Centers (USC) And UH&FWC,,,,
,Hobiganj District,,,
,,Chunarughat,,Nabiganj
,1,"Razarbazar USC, Chunarughat, Hobiganj",10,"Aushkandi Union Sub Center , Nabiganj , Hobiganj"
,,Lakhai,11,"Deopara Union Sub Center , Nabiganj , Hobiganj"
,2,"Bamai Union Sub Center , Lakhai , Hobiganj",12,"Goplarbazar Union Sub Center , Nabiganj , Hobiganj"
,3,"Lakhai Union Sub Center , Lakhai , Hobiganj",13,"Inathganj Union Sub Center , Nabiganj , Hobiganj"
,,Baniachong,14,"Mandarkandi USC, Nabiganj , Hobiganj"
,4,"Baniachong Union Sub Center , Baniachong , Hobiganj",,Azmiriganj
,5,"Sujatpur Union Sub Center , Baniachong , Hobiganj",15,"Jalsuka Union Sub Center , Azmiriganj , Hobiganj"
,,Madhabpur,16,"Kakailsed Union Sub Center , Azmiriganj , Hobiganj"
,6,"Chhatian Union Sub Center , Madhabpur , Hobiganj",,Hobiganj Sadar
,7,"Jagadishpur Union Sub Center , Madhabpur , Hobiganj",17,"Rajiura Union Sub Center , Sadar , Hobiganj"
,8,"Mantola Union Sub Center , Madhabpur , Hobiganj",18,"Shaistagonj Union Sub Center , Sadar , Hobiganj"
,9,"Noyapara Union Sub Center , Madhabpur , Hobiganj",,
