0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Sl No.,,,Name of Institution,,,,No. of X-Ray Machine,,,,,,,,,,,,,,Remarks,,
,,,,,,Total,,,"Servicable
(mA)",,,"Unservicable
(mA)",,,"Repairable
(mA)",,,,Non-,,,,
,,,,,,,,,,,,,,,,,,,repairable,,,,
,,,,,,,,,,,,,,,,,,,(mA),,,,
,1,,,2,,,3,,,4,,,5,,,6,,,7,,,8,
17,,,"Chest Disease Clinic, Feni",,,1-150,,,,,,1-150,,,1-150,,,,,,,,
18,,,"Chest Clinic, Rangamati",,,1-300,,,1-300,,,,,,,,,,,,,,
19,,,"Chest Clinic, Shaymoli, Dhaka",,,1-500,,,1-500,,,,,,,,,,,,,,
20,,,"Chest Clinic, Sylhet",,,1-200,,,1-200,,,,,,,,,,,,,,
21,,,"Chest Disease Hospital, Sylhet",,,1-100,,,1-100,,,,,,,,,,,,,,
22,,,"Chest Disease Clinic, Tangail",,,-,,,,,,,,,,,,,,,,,
23,,,"Chest Disease Clinic, Munshigonj",,,Nil,,,,,,,,,,,,,,,,,
24,,,"Chest Disease Clinic, Gopalgonj",,,Nil,,,,,,,,,,,,,,,,,
25,,,"Chest Disease Clinic, Natore",,,1-100,,,1-100,,,,,,,,,,,,,,
26,,,"Chest Disease Clinic, Dinajpur",,,1-100,,,,,,1-100,,,1-100,,,,,,,,
27,,,"Chest Disease Clinic, Gaibandha",,,1-100,,,,,,1-100,,,,,,,,,,,
28,,,"Chest Disease Clinic, Kurigram",,,1-100,,,,,,1-100,,,,,,,,,"Under process of
repairing",,
29,,,"Chest Disease Clinic, Magura",,,1-150,,,,,,1-150,,,,,,,,,,,
30,,,"Chest Disease Clinic, Kushtia",,,1-300,,,,,,1-250,,,1-250,,,,,,,,
31,,,"Chest Disease Clinic, Meherpur",,,1-100,,,1-100,,,,,,,,,,,,,,
32,,,"Chest Disease Clinic, Cox’sbazar",,,"3-100,50, not
known",,,1-50,,,1-100,,,1-100,,,,,,"1 newly supplied
M.A not known, yet
not installed",,
33,,,"Chest Disease Clinic, B.Baria",,,"2-100, 300",,,1-100,,,1-300,,,1-300,,,,,,,,
34,,,"Chest Disease Clinic, Barisal",,,1- 250,,,,,,1-250,,,1-250,,,,,,,,
35,,,"Chest Disease Clinic, Sunamgonj",,,1-100,,,,,,1-100,,,1-100,,,,,,,,
36,,,"Chest Disease Clinic, Shatkhira",,,"2-100,20",,,,,,"2-100,20",,,,,,,,,,,
37,,,"Chest Disease Clinic, Moulovibazar",,,1-100,,,1-100,,,,,,,,,,,,,,
38,,,"Chest Disease Clinic, Mymensing",,,1-300,,,,,,1-300,,,,,,,,,,,
39,,,"Chest Disease Hospital,
Chankharpool, dhaka",,,1-100,,,1-100,,,,,,,,,,,,,,
40,,,"Chest Disease Clinic, Chuadanga",,,1-100,,,1-100,,,,,,,,,,,,,,
41,,,"Chest Disease Clinic, Kishoregonj",,,1-100,,,1-100,,,,,,,,,,,,,,
42,,,"Chest Disease Clinic, Rangpur",,,1-250,,,1-250,,,,,,,,,,,,,,
