0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,Organization/ Facility,,,Device Category,,,,,,,,,,,,,,,,,,,
,,,,All-in-1,,,Desktop,,,Laptop,,,Monitor,,,Printer,,,TAB,,,Total,
CS Office,,,2,,,,,,8,,,,,,,,,,,,10,,
DG Office,,,38,,,30,,,87,,,17,,,,,,4,,,178,,
District Hospital,,,,,,,,,2,,,,,,,,,,,,2,,
"Institute & Specialized
Inst.",,,,,,13,,,3,,,1,,,,,,,,,17,,
MOHFW,,,1,,,1,,,4,,,1,,,,,,,,,7,,
"Other Building of
DGHS",,,,,,,,,3,,,,,,,,,,,,3,,
Port Health Office,,,,,,2,,,,,,,,,2,,,2,,,6,,
UHC with CC,,,1,,,23,,,219,,,5,,,2,,,35,,,284,,
Grand Total,,,41,,,69,,,326,,,9,,,21,,,41,,,507,,
