0,1,2,3,4,5,6,7,8,9,10,11
,Sl.,,,Short description of the SBCC,,,Type of SBCC materials,,,,
,No.,,,materials,,Leaflet,,Poster,,Form,
1,1,,"Precaution for COVID-19 in animal
markets during “Eid-ulAzha”",Precaution for COVID-19 in animal,,"120,000(One Lac
Twenty Thousand)",,"12,500 (Twelve
Thousand Five
Hundred)",,,
,,,,markets during “Eid-ulAzha”,,,,,,,
2,,,"Awareness creation for prevention of
“Coronavirus""",,,"200,000
(Two Lac)",,"40,000
(Forty
Thousand)",,,
3,,,"World Health Day, 2022",,,,"30,000
(Thirty Thousand)","22,000 (Twenty
Two Thousand)",,,
4,,,"Awareness Creation for prevention of
""Diarrhoeal Diseases""",,,"100,000
(One Lac)",,,,,
5,,,,Awareness creation for the,,,"100,000
(One Lac)",,,,
,,,,"prevention of “Dengue Fever""",,,,,,,
6,,,"Awareness creation on “What to do
during flood”",,,"50,000
(Fifty Thousand)",,,,,
7,,,,Awareness creation on “Prevention of,,,"50,000
(Fifty Thousand)",,,,
,,,,snakebite during flood”,,,,,,,
8,,,"Laboratory test form for COVID-19
case detection",,,,,,,"40,000
(Forty
Thousand)",
