0,1,2,3,4,5,6,7,8,9
Designation group,Designation group,,"Pay
scale","Total
posts","Filled
(Male)","Filled
(Female)",,Filled,Vacant
,,,,,,,,total,
Director General,,,1,1,1,0,1,,0
"Addl. Director
General/OSD/Equivalent",,,2,5,2,1,3,,2
"Director/Principal/Vice
Principal/OSD/Equivalent",,,3,131,179,41,220,,-89
DDeeppuuttyy DDiirreeccttoorr//OOSSDD//EEqquuiivvaalleenntt,,,4,152,385,97,482,,-330
"Asstt. Director/Civil
Surgeon/OSD/Equivalent",,,5,269,354,92,446,,-177
"Deputy Civil
SSuurrggeeoonn//UUHHFFPPOO//OOSSDD//EEqquuiivvaalleenntt",,,6,1108,2278,901,3179,,-2071
Professor,,,3,819,224,75,299,,520
Associate Professor,,,4,1415,530,135,665,,750
Asstt. Professor,,,6,2350,1005,402,1407,,943
Sr. Consultant,,,5,739,235,69,304,,435
Jr. Consultant,,,6 & 7,4683,1120,438,1558,,3125
