0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
District,,,Upazila,,,,Households,,,P. argentipes,,,Other sp.,,,Total Sandfly,
,,,,,,,Surveyed (N),,,found (N),,,found (N),,,found (N),
,Khulna,,,Terokhada,,,15,,,1,,,121,,,564,
,Mymensingh,,,Bhaluka,,,13,,,4,,,306,,,61,
,Jamalpur,,,Melandaha,,,16,,,0,,,371,,,92,
,Jamalpur,,,Sarisabari,,,15,,,09,,,160,,,169,
,Pabna,,,Chatmohor,,,18,,,29,,,212,,,74,
,Pabna,,,Bera,,,16,,,29,,,130,,,427,
,Serajganj,,,Shahzadpur,,,14,,,62,,,200,,,214,
,Dinajpur,,,Ghoraghat,,,18,,,43,,,245,,,288,
,Gazipur,,,Kapasia,,,17,,,21,,,222,,,243,
,Tangail,,,Gopalpur,,,16,,,23,,,239,,,262,
