0,1,2,3,4,5,6,7,8,9
Type of facility,,Type of,,,Total Number of,,,Total Number of,
,,Service,,,Facilities,,,Beds,
Upazila health complex (100-bed),Hospital,,,6,,,600,,
Upazila health complex (50-bed),Hospital,,,360,,,18000,,
Upazila health complex (31-bed),Hospital,,,52,,,1612,,
Upazila health complex (10-bed),Hospital,,,11,,,110,,
Subtotal of upazila health complexes,,,,429,,,20322,,
50-bed hospital,Hospital,,,2,,,100,,
31-bed hospital,Hospital,,,7,,,217,,
30-bed hospital,Hospital,,,3,,,90,,
25-bed hospital,Hospital,,,1,,,25,,
20-bed hospital,Hospital,,,40,,,800,,
10-bed hospital,Hospital,,,15,,,150,,
Upazila health office,OPD,,,60,,,0,,
Union sub-center,OPD,,,1312,,,0,,
"Union health and family welfare center
(UH&FWC)",OPD,,,87,,,0,,
Urban dispensary,OPD,,,35,,,0,,
School health clinic,OPD,,,23,,,0,,
"Tejgaon health complex, Dhaka",OPD,,,1,,,0,,
"Grand Total of primary-level facilities
(except community clinic)",,,,2015,,,21704,,
Community clinic (functional at present),OPD,,,14113,,,0,,
"Grand Total of primary-level facilities
(including community clinic)",,,,16128,,,21704,,
