0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
,,,,"IHT,",,2022,,,50,,,0,,,0,,,0,,,50,,,0,,,0,,,0,,,0,,,3,,,103,,
,,,,Joypurhat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"IHT, Naogaon",,,2022,,,25,,,25,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,2,,,52,,
,gottahC,mar,,"IHT,",,2011,,,50,,,50,,,50,,,50,,,50,,,20,,,0,,,0,,,7,,,0,,,277,,
,,,,"Fouzdarhat,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Chattogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"IHT, Noakhali",,,2022,,,25,,,25,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,2,,,52,,
,asiraB,l,"IHT,
Barisal",,,2011,,,50,,,50,,,50,,,50,,,50,,,20,,,0,,,0,,,7,,,0,,,277,,
rupgnaR,,,"IHT, Rangpur.",,,2011,,,50,,,50,,,50,,,50,,,50,,,20,,,0,,,0,,,7,,,0,,,277,,
,,,,"IHT,",,2022,,,25,,,25,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,2,,,52,,
,,,,Kurigram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anluhK,,,"IHT,
Jhenaidah",,,2011,,,50,,,50,,,50,,,50,,,50,,,20,,,0,,,0,,,7,,,0,,,277,,
,,,,"IHT,",,2018,,,50,,,50,,,0,,,0,,,0,,,0,,,0,,,0,,,3,,,0,,,103,,
,,,,Satkhira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tehlyS,,,"IHT, Sylhet",,,2011,,,50,,,50,,,50,,,50,,,50,,,0,,,0,,,0,,,7,,,0,,,257,,
,isnemyM,hgn,"IHT, Jamalpur",,,2018,,,50,,,50,,,0,,,50,,,50,,,0,,,0,,,0,,,6,,,0,,,206,,
,,,"IHT,
Mymensingh",,,2022,,,25,,,25,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,2,,,52,,
,,,,Total,,,,,,565,,,505,,,400,,,405,,,455,,,140,,,25,,,25,,,65,,,100,,,3719,
"Total no. of
institutions: 23",,,,,,Total seats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3719,,
,LAB= Laboratory; RDL= Radiology; IMG=Imaging; PTY=Physiotherapy; DENT=Dentistry;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTA=Operation Theatre Assistant; ICA=Intensive Care Assistant; SIT=Sanitary Inspectorship Training;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PHAR=Pharmacy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
