0,1,2,3,4,5,6,7,8,9,10
raeY,Month,"RT PCR
Lab
(Govt.)","RT
PCR
Lab
(Pvt.)","Gene
Expert
(Govt.)","Gene
Expert
(Pvt.)","RAT Lab
(Govt.)","RAT Lab
(Pvt.)","Total Lab
(Govt.)","Total Lab
(Pvt.)",Total
1202,January,51,65,26,2,60,0,137,67,204
,February,51,66,27,2,69,0,147,68,215
,March,52,68,29,2,73,0,154,70,224
,April,52,71,32,2,262,0,346,73,419
,May,52,77,40,4,330,0,422,81,503
,June,53,74,44,3,391,0,488,77,565
,July,54,78,50,3,464,0,568,81,649
,August,55,81,51,3,545,54,651,138,789
,September,56,90,53,3,545,74,654,167,821
,October,56,94,54,3,545,81,655,178,833
,November,56,95,54,3,545,95,655,193,848
,December,56,96,54,3,545,98,655,197,852
