0,1,2,3,4,5,6,7,8,9,10,11,12
"Activity-wise
training
program
conducted",,No. of participants,,,,,,,,,,
,,MOHFW personnel,,,,,,,,Total no. of participants,,
,No of,,,,,,,Non-MOHFW,,,,
,,,Central,,,Field level,,,,,,
,batches,,,,,,,personnel,,,,
,,,level,,,,,,,,,
,,,,,,,,,,,,
,,M,,F,,M,F,M,F,Male,Female,Total
Workshop,686,1317,,64,,5117,2813,11097,7442,17531,10319,27850
Advocacy,49,58,,27,,219,290,551,406,828,723,1551
Orientation,29,52,,34,,364,520,988,728,1404,1282,2686
Seminar,52,73,,10,,338,441,931,686,1342,1137,2479
Total,816,1500,,135,,6038,4064,13567,9262,21105,13461,34566
