0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
34,,,Manikganj 250 Bed District Hospital,,,87835,,,125323,,,8423,,,6630,,,12100,,,13705,,,2.98,,,94.08,,,250,,
35,,,Meherpur 250 Bed District Hospital,,,116111,,,131771,,,25247,,,25916,,,14165,,,15168,,,2.28,,,75.90,,,250,,
36,,,Moulvibazar 250 Bed District Sadar Hospital,,,113841,,,119453,,,35383,,,37730,,,17506,,,20807,,,2.61,,,109.16,,,250,,
37,,,Munshiganj 250 Bed District Hospital,,,108921,,,114475,,,22810,,,24322,,,5945,,,9534,,,1.92,,,81.42,,,250,,
38,,,Naogaon 250 Bed District Hospital,,,102386,,,172093,,,33920,,,29171,,,15699,,,19116,,,1.67,,,158.32,,,250,,
39,,,Narail District Hospital,,,46558,,,71365,,,7971,,,8902,,,10569,,,13737,,,2.80,,,182.60,,,250,,
40,,,Narayanganj 300 Bed Hospital,,,12633,,,16428,,,3539,,,3019,,,968,,,944,,,6.22,,,23.28,,,300,,
41,,,Narayanganj General (Victoria) Hospital,,,143219,,,140831,,,86680,,,92306,,,10518,,,11763,,,1.92,,,118.67,,,100,,
42,,,Narsingdi 100 Bed Zilla Hospital,,,3654,,,5024,,,9251,,,10251,,,1125,,,1024,,,9.28,,,45.28,,,100,,
43,,,Narsingdi District Hospital,,,81695,,,91878,,,67031,,,66515,,,5821,,,6412,,,3.00,,,87.23,,,100,,
44,,,Natore District Hospital,,,99093,,,144874,,,13750,,,15339,,,14083,,,15577,,,2.22,,,191.74,,,250,,
45,,,Netrokona District Hospital,,,39317,,,49971,,,43995,,,50290,,,11955,,,20100,,,1.93,,,163.44,,,250,,
46,,,Nilphamari 250 Bed District Hospital,,,104887,,,144201,,,26456,,,34127,,,14812,,,22338,,,2.11,,,85.33,,,250,,
47,,,Noakhali 250 Bed General Hospital,,,69133,,,118945,,,38374,,,35183,,,29849,,,26800,,,3.14,,,195.92,,,250,,
48,,,Pabna 250 Bed General Hospital,,,66698,,,60882,,,13311,,,10887,,,38988,,,38268,,,2.03,,,140.74,,,250,,
49,,,Panchagarh District Hospital,,,40844,,,92720,,,4955,,,5013,,,9377,,,12968,,,2.10,,,121.97,,,250,,
50,,,Patuakhali 250 Bed Sadar Hospital,,,49613,,,69058,,,19142,,,20255,,,18412,,,19643,,,3.55,,,149.61,,,250,,
51,,,Pirojpur District Hospital,,,38927,,,47428,,,21153,,,20245,,,8302,,,11167,,,2.99,,,132.42,,,250,,
52,,,Rajbari District Hospital,,,91349,,,130680,,,37908,,,39175,,,8972,,,15519,,,1.88,,,127.43,,,250,,
53,,,Rangamati General Hospital,,,22056,,,27023,,,3821,,,2296,,,5095,,,6606,,,2.51,,,96.91,,,100,,
54,,,Satkhira District Hospital,,,65407,,,74929,,,5674,,,5915,,,8679,,,9196,,,3.18,,,156.96,,,100,,
55,,,Shaheed Ahsan Ullah Master General Hospital,,,41318,,,39416,,,16261,,,12218,,,3195,,,3094,,,4.36,,,32.63,,,250,,
56,,,Shariatpur District Hospital,,,32279,,,51650,,,13735,,,15561,,,8031,,,10558,,,2.33,,,130.83,,,250,,
57,,,Sherpur 250 Bed District Sadar Hospital,,,81364,,,122814,,,34505,,,36141,,,18665,,,19726,,,2.86,,,247.58,,,250,,
58,,,"Sirajganj 250 Bed Bongamata Sheikh Fazilatunnesa
Mujib General Hospital",,,117714,,,128028,,,27757,,,27863,,,21729,,,21401,,,2.60,,,115.08,,,250,,
59,,,Sunamganj 250 Bed District Sadar Hospital,,,106711,,,104915,,,33842,,,35298,,,17981,,,20559,,,3.33,,,106.00,,,250,,
60,,,Sylhet Shahid Shamsuddin Ahmed District Hospital,,,311,,,323,,,11048,,,5279,,,1292,,,993,,,7.72,,,49.77,,,250,,
61,,,Tangail 250 Bed District Hospital,,,127478,,,130341,,,7043,,,5712,,,29473,,,26831,,,2.42,,,182.92,,,250,,
62,,,Thakurgaon District Hospital,,,63291,,,79781,,,10749,,,7567,,,20706,,,25265,,,2.73,,,148.25,,,250,,
,,,,Total,,,4771767,,,6014486,,,1323605,,,1272398,,,839680,,,954119,,,3.08,,,130.75,,,14200,
