0,1,2,3,4,5
,Resources,,,No.,
Health post,,,91,,
Primary Health Center,,,46,,
Community clinic (MOH),,,09,,
Health and Family Welfare Center (MOH),,,10,,
District 250-bed Sadar Hospital (MOH),,,01,,
Upazila Health Complex (MOH),,,02,,
Sexual & Reproductive Health Women Friendly Space (WFS),,,29,,
Integrated Women Care (IWC),,,05,,
Severe Acute Respiratory Illness Isolation and Treatment Centers (SARI ITCs),,,15,,
Diarrhea Treatment Center (functional and on standby),,,10,,
Field Hospital,,,04,,
Other specialized services,,,05,,
Ambulances,,,40,,
