0,1,2,3,4,5,6,7,8
,Hospital Name,,,Major Surgery,,,Minor Surgery,
Bagerhat District Hospital,,,193,,,8924,,
"Bandarban 250 Bed District Hospital, Bandarban",,,170,,,1076,,
Barguna District Hospital,,,241,,,4652,,
Barisal General Hospital,,,2978,,,3539,,
Bhola 250 Bed District Sadar Hospital,,,1087,,,2842,,
Bogra 250 Bed Mohammad Ali District Hospital,,,2232,,,6154,,
Brahmanbaria 250 Bed District Sadar Hospital,,,468,,,5968,,
Chandpur 250 Bed General Hospital,,,949,,,2781,,
Chapainawabganj 250 Bed District Hospital,,,179,,,2609,,
Chittagong 250 Bed General Hospital,,,1386,,,854,,
Chuadanga District Hospital,,,1051,,,4458,,
Cox's Bazar 250 Bed District Sadar Hospital,,,1192,,,13835,,
Cumilla General Hospital,,,1235,,,2503,,
Dinajpur 250 Bed General Hospital,,,1635,,,5515,,
Faridpur General Hospital,,,426,,,5329,,
Feni 250 Bed District Sadar Hospital,,,747,,,1958,,
Gaibandha 250 Bed District Hospital,,,887,,,5920,,
Gopalganj 250 Bed General Hospital,,,5095,,,9770,,
Habiganj 250 Bed District Hospital,,,325,,,803,,
Jamalpur 250 Bed General Hospital,,,3160,,,2994,,
Jashore 250 Bed General Hospital,,,3230,,,29811,,
Jhalokathi District Hospital,,,103,,,1829,,
Jhenaidah 250 BeddGeneral Hospital,,,1491,,,7272,,
Joypurhat 250 Bed District Hospital,,,4003,,,9638,,
Khagrachari District Hospital,,,396,,,4269,,
Khulna 250 Bed General Hospital,,,511,,,3954,,
Kishoreganj 250 Bed District Sadar Hospital,,,1337,,,20663,,
Kurigram 250 Bed District Hospital,,,564,,,2899,,
Kushtia 250 Bed General Hospital,,,3849,,,3742,,
Lakshmipur District Hospital,,,1429,,,8143,,
Lalmonirhat District Hospital,,,470,,,6112,,
Madaripur District Hospital,,,612,,,11572,,
Magura 250 Bed District Hospital,,,1362,,,6465,,
Manikganj 250 Bed District Hospital,,,1988,,,516,,
Meherpur 250 Bed District Hospital,,,1049,,,6646,,
Moulvibazar 250 Bed District Sadar Hospital,,,2276,,,10296,,
Munshiganj 250 Bed District Hospital,,,359,,,1980,,
Naogaon 250 Bed District Hospital,,,722,,,12382,,
Narail District Hospital,,,840,,,5800,,
Narayanganj 300 Bed Hospital *,,,-,,,-,,
Narayanganj General (Victoria) Hospital,,,759,,,5473,,
Narsingdi 100 Bed Zilla Hospital,,,13,,,68,,
Narsingdi District Hospital,,,519,,,7262,,
Natore District Hospital,,,1936,,,2959,,
Netrokona District Hospital,,,531,,,27697,,
Nilphamari 250 Bed District Hospital,,,458,,,13550,,
Noakhali 250 Bed General Hospital,,,4126,,,14897,,
Pabna 250 Bed General Hospital,,,2197,,,8282,,
Panchagarh District Hospital,,,772,,,7126,,
Patuakhali 250 bed Sadar Hospital,,,1376,,,10925,,
Pirojpur District Hospital,,,114,,,3962,,
Rajbari District Hospital,,,823,,,3622,,
