0,1,2,3,4,5,6,7,8,9,10
"Location of
the program
conducted","No. of
batches",No. of participants,,,,,,,,
,,MOHFW personnel,,,,,,Total no. of participants,,
,,,,,,Non-MOHFW,,,,
,,Central level,,Field level,,,,,,
,,,,,,personnel,,,,
,,,,,,,,,,
,,M,F,M,F,M,F,Male,Female,Total
Barishal,27,49,5,177,86,562,314,788,405,1193
Chattogram,106,175,28,836,563,1708,1145,2719,1736,4455
Dhaka,328,637,55,2335,1496,5643,3611,8615,5162,13773
Khulna,98,184,10,676,538,1600,1292,2464,1840,4304
Mymensingh,63,104,13,643,403,886,463,1633,879,2512
Rajshahi,70,126,11,505,331,1207,840,1838,1182,3020
Rangpur,56,98,7,424,281,945,649,1467,937,2404
Sylhet,68,127,6,442,366,1016,948,1585,1320,2905
Total,816,1500,135,6038,4064,13567,9262,21105,13461,34566
