0,1,2,3,4
Designation,Sanctioned,Post Filled Up,Post Vacant,Percent Vacancy
Class I,1757,910,847,48.21%
Class II,956,392,564,59%
Class III,16523,11704,4819,29.17%
Class IV,32171,27884,4287,13.33%
Total:,51407,40890,10517,20.46%
6.C. Staffing -Directorate of Nursing Services,,,,
Designation,Sanctioned,Post Filled Up,Post Vacant,Percent Vacancy
Class I,166,2,164,98.80%
Class II,485,142,343,70.72%
Class III,17322,15158,2164,12.49%
Class IV,869,628,241,27.73%
Total:,18842,15930,2912,15.45%
