0,1,2,3,4,5
Target,Indicator,"Bench
mark
with Ref.","Achievem
ent with
Ref.","HNPSP
Target
2011","MDG
Target
2015"
"Reduce Child
Mortality by 2/3,
1990-2015,
the <5 mortality
rate","Infant mortality rate/1000 live
birth","65.0
BDHS’04","52
BDHS’07",37,31.3
,<5 mortality rate/1000 live birth,"88.0
BDHS’04","65
BDHS’07",52,48
,"Proportion of infants immunized
against measles",72.0%,94.0%,96.0%,-
"Reduce by3/4,
1990-2015
The maternal
mortality ratio","Maternal mortality ratio/1000 live
birth","3.2
BMMS’01","2.90
UNFPA’06","1.94
BMMS’10",1.43
,"Proportion of births attended by
skilled health personnel","15.5%
BDHS’04","18%
BDHS’07",43%,50%
"Half halt by 2015
and begin to
reverse the spread
of HIV/AIDS","Prevalence of HIV
(% among high risk groups)",-,"0.57 –
0.75",Halt,-
"Half halt by 2015
and begin to
reverse the
incidence of
malaria and other
major diseases",New TB cases detection Rate %,"38%
NTP’03","72%
NTP’07",>70.0,-
,TB cure rate under DOTS %,"83.7%
NTP’03","92%
NTP’07",>85.0,
