0,1,2,3,4,5,6,7,8,9,10,11,12
IEC,Potential Impact,Mitigation Measures,,Monitoring Method,,,,,,Responsibility,,
,,,,Method of Collecting,,,Location and,,Implementation,,Supervision,
,,,,and Reporting Data,,,Frequency,,,,,
COVID H&S,"as COVID-19, Hepatitis C, HIV-
AIDS, etc.
• Dermatitis and allergic reactions
due to workplace exposures.","national guidelines and protocols.
• Implement suitable safety standards for all workers and facility visitors.
• Mandatory use of personal protective equipment and safety gears, where
required.
• Arrangements for safe drinking water and sanitation facilities.
• Provide regular OHS training to healthcare workers.
• Provide incentives to staff and create a work-life balance in work schedule.","hazard control
measures and
personal protective
features",,,,,,,,,
"Accidental
Releases of Gas
and Fluids","• Leakage of infectious or
hazardous substances may pose
serious health hazards and can
spread the contagion among
hospital staff and patients,
cleaners etc.","• Develop an Emergency Response Plan and follow strictly during
emergency incident.
• Emergency preparedness and response procedures and equipment (warning
signs, fire extinguishers, fire exit etc.).
• Wear disposable gloves and, if aerosols are formed, glasses and a respirator for
particles.
• Cover the contaminated area with a disinfectant in a concentric way, starting at
the edge and progressing towards the center of the contamination.
• Avoid spraying or pouring the disinfectant from above, which can cause aerosols.
• Mop up, and dispose of all waste and contaminated material in the appropriate
container (infectious waste).
• Conduct monthly safety audit of facility to identify fire risks, electrocution hazards
and other unsafe conditions, and assess adequacy of fire extinguishers and first
aid provisions.","• Record of regular
inspection.",,,"Hospital area
during operation
period",,,DMCH,,DGHS,
