0,1,2,3,4,5,6
,,,,,,Percentage
,Types of treatment,,,Frequency,,
,,,,,,
,,,,,,31.3
,Chemotherapy,,,3085,,
,,,,,,
,,,,,,21.9
,Radiotherapy,,,2161,,
,,,,,,
,,,,,,20.5
,R+C,,,2018,,
,,,,,,
,,,,,,13.0
,Surgery,,,1283,,
,,,,,,
,,,,,,9.8
,S+C,,,964,,
,,,,,,
,,,,,,3.0
,S+R,,,295,,
,,,,,,
,,,,,,0.4
,S+R+C,,,42,,
,,,,,,
,,,,,,0.1
,Hormone therapy,,,8,,
,,,,,,
,,,,,,0.0
,S+H,,,3,,
,,,,,,
,,,,,,0.0
,Immunotherapy,,,2,,
,,,,,,
,,,,,,0.0
,S+R+H,,,1,,
,,,,,,
Total,,,9862,,,100.0
