0,1,2
1.,Medical University,1
2.,"Public Medical Colleges Total Seats : 5712
Private Medical Colleges","18
45"
3.,"Public Dental Colleges/Units Total Seats : 980
Private Dental Colleges","3
12"
4.,"public Nursing Institutions/colleges (one in the Arm forces)
private Nursing Schools/colleges","51
33"
5.,Institutes of Health Technology (including Public 6 ) Total Seats : 9136,73
6.,"National Institute of Population Research and Training –NIPORT
( Including 20 -RTCs, 12 –FWVTIs)",1
7.,Medical Assistant Training School (MATS) (Including Public 7) Total Seats : 2505,32
8.,National Institute Preventive Health and Social Medicine-NIPSOM,1
9.,Institute of Cardiovascular Diseases,1
10.,Institute of Chest Disease Control,1
11.,Institute of Public Health,1
12.,"Institute of Health Economics, Dhaka University",1
13.,"Department Population Sciences, Dhaka University",1
14.,"Institute of Nutrition and food science, Dhaka University",1
15.,National Institute of Ophthalmology,1
16.,Postgraduate institutes,33
17.,Institute of Public Health Nutrition,1
