0,1,2,3,4,5,6
Designation,Sanctioned,Existing,,,Vacant,"Percent
Vacancy"
,,Male,Female,Total,,
Class I,"20,704",12384,3282,15666,5038,24.33%
Class II,1611,400,715,1115,496,30.79%
Class III,65284,33044,20851,53895,11389,17.45%
Class IV,26041,15166,5743,20909,5132,19.70%
Total:,113640,60994,30591,91585,22055,19.41%
