0,1,2,3,4
,"Means of verification
and timing","Baseline and
source",Update 2013,
"Result 1.3: Improved awareness of healthy behavior (MDG 1, 4",", 5)",,,
,"BDHS, every 3 years
BDHS, every 3 years","43.0%, BDHS 2007
41.5%, BDHS 2007","59.7%, UESD 2013
31.6%, UESD 2013",
Result 1.4: Improved PHC-CC systems,,,,
,"CC Project/MIS/
MOHFW, annual
Health Facility Survey
(BHFS), every 2 years","Registers and forms
supplied to CCs in
June 2012
15.5%, BHFS 2009","12,527, APIR 2013
4.3%, BHFS 2011",
Component 2: Strengthened health systems,,,,
Result 2.1: Strengthened planning and budgeting procedures,,,,
,"Public expenditure
review, annual
Planning Wing, annual","52%, PER
2006/2007
NA","47%, PER
2008/2009
100%, Planning
Wing 2013",
Result 2.2: Strengthened monitoring and evaluation systems,,,,
,"HIS, eHealth, and
MIS-FP, annual
Planning Wing,
six-monthly","NA
NA","Both MISs have
published but not
disseminated; APIR
2013
100%, Planning
Wing 2013",
"Result 2.3: Improved human resources—planning, developme","nt, and management",,,
,"DGHS/DGFP MIS,
annual; BHFS, every
2 years
HRD/MOHFW, annual
MIS/EOC BHFS, every
2 years","Physicians: 45.7%;
Nurses: 24.7%;
FWV/SACMO/MA:
16.9%, BHFS 2009
NA
132, MIS/DGHS
2009","Physicians: 46.1%,
Nurses: 19.59%,
FWV/SACMO/MA:
21.2%, BHFS 2011
596, APIR 2013
75, APIR 2013",
Result 2.4: Strengthened quality assurance and supervision s,ystems,,,
,"DGHS MIS, annual","8%, Health Bulletin
2009",NA,
Result 2.5: Sustainable and responsive procurement and logis,tic system,,,
,"BHFS, every 2 years
BHFS, every 2 years","66.1%, BHFS 2009
58.1%, BHFS 2009","74%, BHFS 2011
55.1%, BHFS 2011",
Result 2.6: Improved infrastructure and maintenance,,,,
,"BHFS, every 2 years","51.0%, BHFS 2009","44.5%, BHFS 2011",
