0,1,2,3
,Organization with organization code,FY 2013-2014,"FY 2012-2013
(revised"
,Secretariat (MOHFW) (2701),"20,092,812","20,896,028"
,MOHFW Total,"20,092,812","20,896,028"
,Autonomous bodies & other institutions (2705),"1,874,620","1,845,980"
,Autonomous bodies Total,"1,874,620","1,845,980"
,International organizations (2706),"9,850","22,385"
,International organizations Total,"9,850","22,385"
,"DGHS (2711)
Divisional establishments (2712)
Civil surgeons’ offices (2713)
Upazila health offices (2714)
DG Drug Administration (2715)
Directorate of Nursing (2716)
Health Engineering Department (2717)
Medical colleges (2721)
Paramedical institutes (2722)
Medical Assistants Training Schools (2723)
TB Control & Training institute (2724)
Dental colleges (2725)
Colleges of Nursing (2726)
Govt. Tibbia College, Sylhet (2728)
Govt. Unani & Ayruvedic Degree College & Hospital (2729)
Govt. Homeopathic Degree College & Hospital (2730)
Center for medical education (2733)
Medical college hospitals (2741)
District hospitals (2742)
Other district-level hospitals (2743)
Upazila health complexes and subcenters (2744)
Dental college hospitals (2747)
Specialized hospitals and institutes (2751)
Epidemic disease control center (IEDCR) (2761)
TB centers (2771)
School health clinics (2772)
Other facilities (2775)","21,444,169
74,665
652,647
5,959,055
140,090
4,631,940
1,347,660
1,901,101
45,164
116,499
40,176
71,881
20,087
8,132
48,615
48,508
2,317,711
4,157,923
3,935,816
102,714
8,087,857
16,387,242
2,617,113
30,081
162,169
36,051
207,640","20,963,245
69,344
610,462
5,625,080
79,472
1,319,264
1,335,570
1,702,275
42,602
109,604
37,641
67,440
19,082
7,456
46,632
43,864
2,093,329
4,437,463
4,072,905
113,163
8,179,716
16,906,715
2,721,310
28,526
152,413
34,190
198,216"
,DGHS and subordinate organizations Total,"74,592,706","71,016,979"
,"DGFP (2781)
Divisional family planning offices (2783)
District family planning offices (2785)
Upazila family planning offices (2787)
Family planning hospitals & dispensaries (2789)
Other family welfare facilities under DGFP (2791)","5,900,297
14,524
259,274
10,123,041
241,961
425,388","6,453,458
14,534
248,590
9,216,352
229,303
425,613"
,DGFP and subordinate organizations Total,"16,964,485","16,587,850"
,Development program financed by revenue budget (2796),-,"28,608"
D,evelopment program financed by revenue budget Total,-,"28,608"
,,,
"Grand Total 113,534,473 110,397,830",,,
