0,1,2,3
,Revised budget,Expense,Utilization (%)
,"1,565,645,000
69,344,000
610,462,000
5,625,080,000","1,830,347,777
65,259,952
582,641,847
5,309,497,735","116.9
94.1
95.4
94.4"
,"1,000,000
41,602,000
42,602,000","-
34,714,391
34,714,391","0.0
83.4
81.5"
,"100,000
109,504,000
109,604,000","-
98,251,507
98,251,507","0.0
89.7
89.6"
,"2,000,000
35,641,000
37,641,000","1,983,986
31,072,912
33,056,898","99.2
87.2
87.8"
,"1,200,000,000
2,872,905,000
4,072,905,000","1,210,704,141
2,731,466,317
3,942,170,458","100.9
95.1
96.8"
Other district-level hospitals Total,"113,163,000","107,402,579",94.9
,"1,500,000,000
6,679,716,000
8,179,716,000","1,088,396,957
6,334,478,258
7,422,875,215","72.6
94.8
90.8"
,"8,000,000
30,260,000
38,260,000","6,347,241
27,293,638
33,640,879","79.3
90.2
87.9"
,"15,000,000
104,551,000
119,551,000","6,788,965
98,167,574
104,956,539","45.3
93.9
87.8"
,"6,000,000
36,514,000
42,514,000","4,885,322
33,400,825
38,286,147","81.4
91.5
90.1"
,"21,000,000
131,413,000
152,413,000","16,609,478
127,521,237
144,130,715","79.1
97.0
94.6"
,"4,400,000
29,790,000
34,190,000","4,064,479
29,464,920
33,529,399","92.4
98.9
98.1"
"Model family planning clinics Total 46,352,000 45,271,341 97.7",,,
