0,1,2,3,4
Category,Sanctioned,Filled-up,Vacant,Vacancy (%)
,,,,
"Nursing
Non-nursing","161
1","6
-","155
1","96.3
100.0"
"Nursing
Non-nursing","171
1","2
-","169
1","98.8
100.0"
"Nursing
Non-nursing","174
1","1
-","173
1","99.4
100.0"
,,,,
"Nursing
Non-nursing","463
20","150
8","313
12","67.6
60.0"
"Nursing
Non-nursing","16207
20","14041
7","2166
13","13.4
65.0"
"Nursing
Non-nursing","21052
20","12609
7","8443
13","40.1
65.0"
,,,,
"Nursing
Non-nursing","16559
353","13327
214","3232
139","19.5
39.4"
"Nursing
Non-nursing","1375
353","837
202","538
151","39.1
42.8"
"Nursing
Non-nursing","1375
358","625
204","750
154","54.5
43.0"
,,,,
Non-nursing,704,633,71,10.1
Non-nursing,863,620,243,28.2
Non-nursing,863,614,249,28.9
