0,1,2,3
Name of Institution,Allocation,Expenditure,"Utilization rate (%)
of allocation"
DGHS (Central Office),114841918,122958990,107.07
Divisional Health Offices,2073420,1425826,68.77
Civil Surgeon’s Offices,15682500,12643218,80.62
General Hospitals,58382756,43764992,74.96
District Hospitals,49393837,29922103,60.58
Urban Health Complexes & Sub-centers,449455,482256,107.30
Govt. TB Hospitals,570290,403656,70.78
Other TB Hospitals,1717365,1170465,68.15
Other Hospitals,6951120,4469118,64.29
Upazila Health Offices,120921710,105889612,87.57
Leprosy Hospitals,801900,484790,60.46
