0,1,2,3,4
tegraT 0302,,,21,"%5< %0.1
)a( )b("
tegraT 5202,,,11,"%01 %0.1
)a( )b("
")ecruos
sutats
tnerruC dna
raeY(",,"raey
ecruoS
dna",01,SCIM 9102 SBB
,,ataD,9,":thgiewrevO
:gntisaW
%8.9 %4.2
)a( )b("
"atad
enilesaB",ecruoS,,8,"SHDB SCIM
)a( )b("
,raeY,,7,"31-2102
7102
)a( )b("
,ataD,,6,":gntisaW :thgiew
-revO %6.1
)a( %8 )b("
gntiropeR ycneuqerf,,,5,lainneirT
"ecruos
ataD","-artsinimdA dnaB
ytivticA /yevruS( /susneC /SIM/evti )ToI/ataD
giB/IA",,4,SCIM
,notiuttisnI /yrtsiniM( /noisiviD )ycnegA,,3,SBB
"-issalC
notiacfi
reiT",,,2,"I
reiT"
"rotacidnI
GDS",,,1,"ecnelaverP
notiirtunlam morf nerdlihc epyt
-rof-thgiew([ ro dradnats naidem OHW htworG ])sdradnatS sraey dna )thgiewrevo
2+>
notiaived yb
5 gntisaw(
thgieh eht gnoma rednu ,ega
2.2.2 dlihC
2-< eht
fo fo fo"
