0,1
Name of medical college hospital,Average length of stay
"Dhaka Medical College Hospital, Dhaka",7.3
"Shaheed Suhrawardy Medical College Hospital, Dhaka",6.2
"Rangpur Medical College Hospital, Rangpur",5.5
"Khulna Medical College Hospital, Khulna",5.2
"Sir Salimullah Medical College Hospital, Mitford, Dhaka",5
"Chattogram Medical College Hospital, Chattogram",4.7
"Shahid Ziaur Rahman Medical College Hospital, Bogura",4.6
"Kumilla Medical College Hospital, Kumilla",4.2
"Mymensingh Medical College Hospital, Mymensingh",4.1
"M Abdur Rahim Medical College Hospital, Dinajpur",3.9
"MAG Osmani Medical College Hospital, Sylhet",3.9
"Sher-E-Bangla Medical College Hospital, Barishal",3.8
"Bangabandhu Sheikh Mujib Medical College Hospital, Faridpur",3.7
"Rajshahi Medical College Hospital, Rajshahi",3.2
"Shaheed Tajuddin Ahmad Medical College Hospital, Gazipur",2.9
"Shahid Syed Nazrul Islam Medical College Hospital, Kishoreganj",0
