0,1
Type of facility,Number
Health Post,94
Primary Health Center,40
Community Clinic (MOH),37
Diarrhea Treatment Center (functional and on standby),10
Field Hospital,3
Health and Family Welfare Center (MOH),7
Labor Room or Specialized SRH Facility,11
"Other specialized institutions for eyecare, rehabilitation, etc.",26
Secondary Health Facility (including surgical and non-surgical purpose),8
Sub-center (MOH),6
Upazila HC and Sadar Hospital,3
Severe Acute Respiratory Illness Isolation and Treatment Centers (SARI ITCs),15
WFS,10
Total,270
