0,1
Parameter,Value
Total TB case notified,292859
TB treatment coverage (notified/estimated incidence),81%
Notified TB/HIV co-infection,120
Laboratory-confirmed MDR/RR-TB cases,1373
MDR/RR-TB patients started treatment,1243
Laboratory-confirmed XDR-TB cases,7
XDR-TB patients started treatment,7
Treatment success of new and relapsed cases registered in 2018 (analyzed in 2019),94%
Treatment success in HIV-positive TB cases registered in 2018 (analyzed in 2019),64%
Treatment success in MDR/RR-TB cases starting second-line treatment in 2017,85%
