0,1
Name of district-level hospital,Average length of stay
"Barishal District Hospital, Barishal",10.3
"Shahid Shamsuddin District Hospital, Sylhet",9.9
Narayanganj 300-bed Hospital,9.4
"Khulna District Hospital, Khulna",5.2
"Brahmanbaria District Hospital, Brahmanbaria",4.8
"Dinajpur District Hospital, Dinajpur",4.2
"Mohammad Ali District Hospital, Bogura",4.1
"Narsingdi (100-bed) Zila Hospital, Narsingdi",4
"Bandarban District Hospital, Bandarban",3.9
"Patuakhali District Hospital, Patuakhali",3.9
"Joypurhat District Hospital, Joypurhat",3.4
"Kushtia District Hospital, Kushtia",3.4
"Feni District Hospital, Feni",3.3
"Noakhali District Hospital, Noakhali",3.3
"Chattogram General Hospital, Chattogram",3.2
"Shaheed Ahsan Ullah Master General Hospital, Tongi, Gazipur",3.2
"Cox’s Bazar District Hospital, Cox’s Bazar",3.1
"Sunamganj District Hospital, Sunamganj",3.1
"Bagerhat District Hospital, Bagerhat",3
