0,1,2,3,4
tegraT 0302,,,21,%21
tegraT 5202,,,11,%61
")ecruos
sutats
tnerruC dna
raeY(",,"raey
ecruoS
dna",01,SCIM 9102 SBB
,,ataD,9,%82
"atad
enilesaB",ecruoS,,8,SHDB
,raeY,,7,7102
,ataD,,6,%13
gntiropeR ycneuqerf,,,5,lainneirT
"ecruos
ataD","-artsinimdA dnaB
ytivticA /yevruS( /susneC /SIM/evti )ToI/ataD
giB/IA",,4,SCIM
,notiuttisnI /yrtsiniM( /noisiviD )ycnegA,,3,SBB
"-issalC
notiacfi
reiT",,,2,"I
reiT"
"rotacidnI
GDS",,,1,"ecnelaverP
ega-rof-thgieh([ nerdlihc
gntinuts dradnats eht fo htlaeH notiazinagrO dlihC ])sdradnatS sraey
notiaived eht
naidem dlroW )OHW( htworG gnoma 5 rednu ega
1.2.2 morf
fo 2≤ fo"
