0,1,2,3,4
Type of institution,Year,,"Increased
in numbers","Increased in
percentage (%)"
,2009,2020,,
Medical university,1,4,3,0.9
Government medical college,17,36,19,5.8
Private medical college,40,70,30,9.2
Army and Armed Forces Medical College,1,6,5,1.5
Government dental college and unit,3,9,6,1.8
Private dental college and unit,11,26,15,4.6
Government institute of health technology (IHT),3,13,10,3.1
Private institute of health technology (IHT),38,97,59,18.2
Government medical assistants training school (MATS),7,9,2,0.6
Private medical assistants training school (MATS),23,200,177,54.5
Total number of institutions,144,466,325,100.0
