0,1,2,3,4,5,6,7,8,9,10,11
"Sl.
no.","Location of
the training
program
conducted","Number
of
batches",No. of participants,,,,,,,,
,,,MOHFW personnel,,,,"Non-MOHFW
personnel
(Field)",,Total no. of participants,,
,,,Central level,,Field level,,,,,,
,,,Male,Female,Male,Female,Male,Female,Male,Female,Total
1.,"Borisal
division",40,70,4,889,715,205,92,1164,811,1975
2.,"Chattogram
division",109,185,18,2164,1668,928,294,3277,1980,5257
3.,Dhaka division,203,346,31,4167,3644,1066,509,5579,4184,9763
4.,"Khulna
division",67,116,5,1323,1099,515,213,1954,1317,3271
5.,"Mymensingh
division",66,111,8,1116,1156,582,214,1809,1378,3187
6.,"Rajshahi
division",93,153,17,1921,1429,725,194,2799,1640,4439
7.,"Rangpur
division",39,64,3,699,570,387,191,1150,764,1914
8.,Sylhet division,76,130,7,1362,994,815,280,2307,1281,3588
Grand Total,,693,1175,93,13641,11275,5223,1987,20039,13355,33394
