0,1,2,3,4
Teaching/training institutions,Total,Government,Private,Autonomous
Medical University,5,4,0,1
"Postgraduate medical teaching
institutions",39,22,10,7
Medical colleges,109,37,72,-
"Armed Forces and Army Medical
Colleges*",6,1,5,-
"Dental colleges and dental units in
medical colleges",35,9,26,-
"Nursing institutions offering Basic
BSc Nursing Course",60,15,45,-
"Nursing institutions offering Post-
basic BSc Nursing Course",41,4,37,-
"Nursing institutions offering
Specialized Diploma",4,1,3,-
"Institutions offering Diploma in
Nursing and Midwifery",183,43,140,-
"Unani and Ayurvedic Medical
College",4,2,2,-
Homeopathic Medical College,2,1,1,-
"Unani and Ayurvedic Diploma
College",23,1,22,-
Homeopathic Diploma College,61,0,61,-
Medical Assistants Training Schools,211,11,200,-
Institutes of Health Technology (IHT),112,15,97,-
