0,1,2,3,4,5
"Sl.
no.",Topic,TVC airing,,TVC scrolling,
,,Chanel,Min,Chanel,Days
1,Prevention of COVID-19,4,400,,150
2,"Street food, junk food, and open-space food vending",5,320,5,150
3,Early marriage and delayed pregnancy among adolescents,5,200,7,30
4,Safe food and food hygiene practice through mass media,,105,5,30
5,"Identification of newborn’s danger signs and illness to
reduce neonatal mortality rate",,100,10,15
6,"Hepatitis, waterborne diseases, and cancer among the
community people",5,200,5,30
7,"Infection control, increase institutional delivery, and safe
delivery to reduce maternal mortality",5,200,,
8,Excessive sugar and salt intake,4,200,10,15
