0,1,2,3,4,5,6,7,8,9,10,11
"Sl.
no.","Thematic area
of SBCC activity","Number
of
batches",No. of participants,,,,,,,,
,,,MOHFW personnel,,,,"Non-MOHFW
personnel",,Total no. of participants,,
,,,Central level,,Field level,,,,,,
,,,Male,Female,Male,Female,Male,Female,Male,Female,Total
3.,"Campaign for
awareness-
building to
promote
healthy lifestyle
for NCD control,
including
mental health",36,60,11,1139,688,105,82,1304,781,2085
4.,"Campaign on
the prevention
of diabetes,
cancer, and
other non-
communicable
diseases",30,50,9,746,714,91,85,887,808,1695
5.,"Counseling
on safe sexual
behavior,
mental health,
tobacco- and
drug-abuse
among
adolescents",32,61,3,930,462,270,140,1261,605,1866
6.,"District-level
workshop on
the promotion
of healthy diet
and not to use
excessive salt,
sugar, and junk
food",39,74,2,1108,441,70,15,1252,458,1710
7.,"Ensure
newborn’s care
and infection
control by
promoting
safe delivery,
treating
asphyxia,
thermal control,
hygiene,
umbilical cord
care",36,67,5,378,1174,0,0,445,1179,1624
8.,"Communication
campaign on
arsenic-free
water",32,51,3,944,424,2,9,997,436,1433
